Genomic Distance,Column1,HiC_10th_tau_11h,HiC_11th_tau_11h,HiC_12th_tau_11h,HiC_13th_tau_11h,HiC_14th_tau_11h,HiC_15th_tau_11h,HiC_16th_tau_11h,HiC_17th_tau_11h,HiC_18th_tau_11h,HiC_1st_tau_11h,HiC_2nd_tau_11h,HiC_3rd_tau_11h,HiC_4th_tau_11h,HiC_5th_tau_11h,HiC_6th_tau_11h,HiC_7th_tau_11h,HiC_8th_tau_11h,HiC_9th_tau_11h,avee
15225,15224600,2.17334,2.37853,2.66292,2.89844,2.42196,1.33214,1.49328,1.58689,2.38124,2.38323,1.37674,2.75651,1.30896,2.795,1.35249,2.14145,1.71714,1.58937,2.041646111
15343,15342600,2.17952,2.37839,2.68762,2.9046,2.44606,1.33676,1.49195,1.59031,2.39602,2.39683,1.38854,2.76064,1.32445,2.79516,1.36113,2.15155,1.67885,1.60383,2.048456111
15461,15460600,2.18425,2.37659,2.71035,2.90879,2.46665,1.33862,1.48411,1.59805,2.41165,2.40905,1.40744,2.77201,1.34161,2.79205,1.36592,2.15994,1.63688,1.61195,2.054217222
15579,15578600,2.1847,2.37454,2.73635,2.91669,2.48438,1.34547,1.47391,1.60537,2.43013,2.41939,1.42993,2.78938,1.35677,2.78683,1.37129,2.17054,1.59726,1.61473,2.060425556
15697,15696700,2.18093,2.37195,2.76196,2.92723,2.50361,1.35237,1.46428,1.61922,2.45183,2.42494,1.45516,2.80453,1.36889,2.77973,1.37203,2.18797,1.56174,1.61798,2.067019444
15815,15814700,2.17645,2.37761,2.78331,2.94077,2.52398,1.36288,1.45247,1.63836,2.47612,2.43325,1.48152,2.82277,1.38274,2.76983,1.3737,2.20491,1.5268,1.61837,2.074768889
15933,15932700,2.1757,2.38595,2.80308,2.95319,2.54,1.36455,1.4372,1.6581,2.5002,2.43938,1.50048,2.83976,1.39907,2.75887,1.37008,2.22704,1.49273,1.61428,2.081092222
16051,16050700,2.17515,2.39663,2.82199,2.9636,2.55318,1.36387,1.42385,1.67221,2.52343,2.44362,1.52226,2.85543,1.41701,2.75162,1.35707,2.25512,1.45844,1.61079,2.086959444
16169,16168700,2.17403,2.40698,2.84383,2.97773,2.56558,1.36084,1.41851,1.68046,2.5503,2.44416,1.53852,2.87059,1.44082,2.74057,1.33815,2.28581,1.41714,1.61381,2.092657222
16287,16286800,2.17326,2.41914,2.86645,2.99731,2.58105,1.36146,1.41286,1.68755,2.57814,2.44807,1.55525,2.88392,1.46096,2.72919,1.32154,2.31891,1.37329,1.61745,2.099211111
16405,16404800,2.16884,2.42949,2.89401,3.01699,2.59821,1.3611,1.40843,1.69444,2.60863,2.45282,1.56755,2.90139,1.48506,2.71908,1.30507,2.34869,1.33298,1.62836,2.10673
16523,16522800,2.15953,2.43868,2.92626,3.0286,2.61331,1.36486,1.40506,1.69863,2.63931,2.4569,1.57143,2.91636,1.51477,2.71232,1.28785,2.37713,1.30179,1.63399,2.11371
16641,16640800,2.14502,2.44947,2.96189,3.03103,2.62903,1.36879,1.39771,1.69208,2.67182,2.46124,1.57178,2.92367,1.54206,2.70499,1.26612,2.40004,1.2742,1.63657,2.118195
16759,16758800,2.13094,2.46208,2.99121,3.03251,2.64363,1.38248,1.38467,1.6901,2.69868,2.46817,1.57812,2.93102,1.5768,2.70103,1.24215,2.41497,1.2559,1.63209,2.123141667
16877,16876900,2.11386,2.47596,3.01852,3.03644,2.66508,1.40118,1.37158,1.69709,2.7221,2.47364,1.57745,2.93806,1.61448,2.69732,1.22191,2.43083,1.23759,1.63296,2.129225
16995,16994900,2.09003,2.49175,3.04318,3.03772,2.68193,1.41694,1.3668,1.70443,2.7437,2.47471,1.5769,2.93981,1.64742,2.69015,1.19993,2.44465,1.2206,1.64198,2.134035
17113,17112900,2.06407,2.50816,3.067,3.04001,2.69677,1.42817,1.35918,1.70697,2.76465,2.48194,1.57943,2.94095,1.67892,2.67424,1.18192,2.45703,1.20639,1.65546,2.138403333
17231,17230900,2.04308,2.52011,3.09009,3.04128,2.71182,1.44118,1.35044,1.70383,2.77906,2.49713,1.58564,2.93487,1.70109,2.65684,1.16785,2.46956,1.18808,1.67395,2.141994444
17349,17348900,2.02353,2.53758,3.11837,3.03659,2.72129,1.45573,1.34057,1.69162,2.78774,2.51173,1.59788,2.92457,1.72024,2.64082,1.15809,2.47847,1.17117,1.6883,2.144682778
17467,17467000,1.99869,2.54413,3.14648,3.03109,2.72487,1.45837,1.32312,1.67418,2.79396,2.52754,1.6078,2.90659,1.7425,2.62041,1.13566,2.47961,1.16045,1.70051,2.143108889
17585,17585000,1.98197,2.54746,3.17896,3.02767,2.73113,1.45335,1.30826,1.65399,2.79422,2.53858,1.61402,2.88926,1.76858,2.61085,1.11294,2.48506,1.14363,1.7086,2.141585
17703,17703000,1.9667,2.55217,3.21304,3.02697,2.73821,1.45329,1.29808,1.64094,2.80305,2.55191,1.62031,2.8749,1.79131,2.61504,1.0889,2.47922,1.13313,1.71779,2.142497778
17821,17821000,1.94677,2.55531,3.23835,3.01949,2.74204,1.45071,1.29435,1.63022,2.80931,2.56175,1.62511,2.85215,1.80465,2.62478,1.06336,2.47456,1.13082,1.7262,2.141662778
17939,17939000,1.92564,2.55199,3.25361,3.01285,2.75307,1.44318,1.29038,1.61153,2.81029,2.56877,1.62644,2.82637,1.81274,2.62737,1.04227,2.46234,1.13376,1.72314,2.137541111
18057,18057100,1.89912,2.55404,3.26281,3.00852,2.75539,1.43869,1.28337,1.59581,2.80779,2.57873,1.62533,2.79917,1.82064,2.62242,1.02903,2.43985,1.14147,1.71423,2.132022778
18175,18175100,1.86299,2.55028,3.26582,2.99841,2.75323,1.43881,1.26939,1.58257,2.80302,2.58801,1.61951,2.76778,1.83018,2.61404,1.01733,2.41023,1.14157,1.6953,2.122692778
18293,18293100,1.82457,2.54409,3.26778,2.98609,2.75116,1.44103,1.24864,1.56529,2.79914,2.59298,1.62414,2.73532,1.85109,2.60072,1.00936,2.37555,1.12427,1.6735,2.111928889
18411,18411100,1.79809,2.5374,3.27478,2.98018,2.75007,1.44531,1.23256,1.55814,2.80378,2.5958,1.62512,2.70585,1.88426,2.58781,1.00853,2.34013,1.10375,1.65136,2.104606667
18529,18529100,1.78033,2.52149,3.27523,2.97035,2.75091,1.4522,1.2187,1.54255,2.80815,2.5962,1.6187,2.6728,1.91731,2.56508,1.02202,2.30349,1.0902,1.62982,2.096418333
18647,18647200,1.76117,2.51159,3.26743,2.95296,2.75346,1.46285,1.19779,1.52802,2.81069,2.58539,1.6009,2.63754,1.95607,2.54436,1.03865,2.27214,1.08609,1.61472,2.087878889
18765,18765200,1.72836,2.49412,3.26045,2.91943,2.75767,1.46686,1.17801,1.51042,2.81094,2.5712,1.57537,2.59142,1.99408,2.51817,1.04805,2.23967,1.07773,1.60128,2.074623889
18883,18883200,1.69601,2.46823,3.24825,2.8894,2.77359,1.4771,1.16471,1.49521,2.80982,2.55404,1.5535,2.54326,2.02605,2.49595,1.0674,2.20687,1.06649,1.5831,2.062165556
19001,19001200,1.66262,2.44034,3.23282,2.86267,2.77621,1.4982,1.1473,1.47832,2.8002,2.53185,1.53022,2.48847,2.0562,2.46702,1.08222,2.16005,1.0363,1.56487,2.045326667
19119,19119200,1.63494,2.4243,3.22647,2.82781,2.77395,1.50673,1.1354,1.46016,2.79902,2.51124,1.49378,2.44742,2.08446,2.44751,1.09552,2.111,1.01538,1.56022,2.030850556
19237,19237300,1.60531,2.41096,3.22437,2.7943,2.77237,1.50525,1.13738,1.44948,2.80301,2.47825,1.46616,2.41663,2.1054,2.42066,1.09956,2.0653,0.987557,1.57091,2.017380944
19355,19355300,1.58676,2.40633,3.22303,2.76164,2.76416,1.51097,1.14485,1.42941,2.8038,2.45209,1.4347,2.39502,2.12781,2.40073,1.08824,2.01929,0.984806,1.59302,2.007036444
19473,19473300,1.58713,2.41048,3.23764,2.7397,2.7548,1.52262,1.14278,1.41725,2.81591,2.43126,1.41027,2.37241,2.14898,2.3852,1.08446,1.98892,0.99909,1.63222,2.004506667
19591,19591300,1.59522,2.40861,3.26144,2.71748,2.74607,1.53535,1.13894,1.40502,2.83062,2.41869,1.37868,2.35426,2.16139,2.38455,1.07372,1.96311,1.00554,1.68148,2.003342778
19709,19709300,1.6199,2.40896,3.30136,2.69135,2.74105,1.54446,1.1279,1.37774,2.83252,2.40238,1.35169,2.34783,2.15988,2.38522,1.07534,1.92632,0.990755,1.72396,2.000478611
19827,19827400,1.65158,2.39449,3.33475,2.68319,2.72861,1.55418,1.13688,1.36415,2.84198,2.37316,1.34201,2.34535,2.17913,2.37618,1.08645,1.90069,0.980099,1.77719,2.002781611
19945,19945400,1.68023,2.37825,3.36693,2.68004,2.725,1.568,1.16032,1.36717,2.85073,2.34121,1.32638,2.34918,2.20299,2.37083,1.09135,1.88237,0.959264,1.8253,2.006974667
20063,20063400,1.69744,2.37139,3.39343,2.67113,2.72252,1.58497,1.1881,1.36116,2.8674,2.31676,1.30842,2.35321,2.20742,2.38157,1.09382,1.85835,0.940694,1.87242,2.010566889
20181,20181400,1.72229,2.35954,3.42007,2.65991,2.73036,1.59882,1.22453,1.35942,2.88182,2.29472,1.29036,2.34568,2.2182,2.39803,1.09068,1.81845,0.90229,1.91751,2.012926667
20299,20299400,1.74195,2.32592,3.43749,2.63662,2.72663,1.62641,1.2332,1.36653,2.88324,2.26989,1.27065,2.30272,2.21581,2.43488,1.093,1.77683,0.857225,1.96195,2.008941389
20418,20417500,1.7798,2.30037,3.47816,2.63251,2.71609,1.64733,1.2378,1.36672,2.89886,2.22608,1.26643,2.28827,2.2188,2.46706,1.08934,1.74563,0.827017,1.98628,2.009585944
20536,20535500,1.82263,2.2641,3.5299,2.643,2.70298,1.66903,1.23915,1.36134,2.88344,2.20265,1.26663,2.28158,2.22504,2.49548,1.08451,1.7018,0.809641,2.00846,2.010631167
20654,20653500,1.86356,2.25035,3.55035,2.65464,2.70389,1.7153,1.27019,1.37102,2.88294,2.18492,1.27475,2.2758,2.23533,2.51863,1.08387,1.68556,0.823453,2.03903,2.021310167
20772,20771500,1.90943,2.21599,3.55514,2.65514,2.70401,1.77404,1.29301,1.40059,2.8947,2.15052,1.28066,2.25534,2.25199,2.52635,1.08085,1.67772,0.850548,2.06865,2.030259889
20890,20889500,1.99125,2.14559,3.53087,2.65936,2.73232,1.86413,1.31558,1.41888,2.91426,2.08313,1.29156,2.22142,2.2932,2.51307,1.0944,1.70809,0.881148,2.08054,2.041044333
21008,21007600,2.07039,2.08197,3.5085,2.63431,2.74211,1.99364,1.38978,1.48223,2.88841,2.0005,1.29489,2.13114,2.29805,2.52759,1.05809,1.78133,0.88148,2.05835,2.045708889
21126,21125600,2.1133,2.03483,3.45776,2.64013,2.70314,2.1243,1.48096,1.5184,2.85569,1.90689,1.29827,2.03361,2.28716,2.5375,0.989971,1.86566,0.89361,1.98395,2.040285056
21244,21243600,2.11892,1.9727,3.39777,2.65594,2.65845,2.21993,1.53856,1.5471,2.73114,1.87354,1.35727,1.94945,2.31161,2.50618,0.962089,1.91455,0.88527,1.92334,2.0291005
21362,21361600,2.06212,1.96722,3.33842,2.64722,2.60353,2.30193,1.64901,1.61427,2.61782,1.9075,1.45318,1.85454,2.32564,2.49215,1.00462,1.89125,0.845337,1.78057,2.019795944
21480,21479600,2.03702,1.9166,3.22401,2.71419,2.60497,2.45537,1.84596,1.72882,2.47059,1.88188,1.56451,1.82484,2.39148,2.46668,1.10021,1.77774,0.896758,1.63978,2.030078222
21598,,2.16149,2.00783,3.1235,2.70036,2.70471,2.59729,1.97332,1.89657,2.3673,1.93789,1.55521,1.83098,2.52763,2.531,1.16288,1.76546,0.853711,1.56534,2.070137278
