Genomic Distance,Column1,HiC_10th_tau_11h,HiC_11th_tau_11h,HiC_12th_tau_11h,HiC_13th_tau_11h,HiC_14th_tau_11h,HiC_15th_tau_11h,HiC_16th_tau_11h,HiC_17th_tau_11h,HiC_18th_tau_11h,HiC_1st_tau_11h,HiC_2nd_tau_11h,HiC_3rd_tau_11h,HiC_4th_tau_11h,HiC_5th_tau_11h,HiC_6th_tau_11h,HiC_7th_tau_11h,HiC_8th_tau_11h,HiC_9th_tau_11h,avee
1888,1888320,0.925671,0.97008,0.96325,0.941999,0.878302,0.988616,1.09837,0.77855,0.924735,0.981668,0.813259,0.912021,0.849528,0.79225,0.929915,1.05938,0.9531,0.827359,0.9215585
2006,2006340,0.953194,1.01067,0.988745,0.978335,0.906415,1.00561,1.13423,0.799033,0.950976,1.01386,0.835656,0.936709,0.873282,0.818174,0.951138,1.08634,0.983729,0.83458,0.947815333
2124,2124360,0.979382,1.05401,1.01493,1.01538,0.93362,1.01858,1.17015,0.82196,0.975683,1.04477,0.855971,0.959858,0.89396,0.843127,0.967935,1.11011,1.01713,0.839936,0.973138444
2242,2242380,1.00696,1.09406,1.0442,1.04892,0.960221,1.03259,1.20482,0.847266,1.00225,1.07262,0.875542,0.980485,0.914584,0.864735,0.981442,1.13106,1.05274,0.842406,0.997605611
2360,2360400,1.03496,1.1347,1.07869,1.08191,0.986917,1.04706,1.23946,0.872505,1.02659,1.10056,0.892585,0.995289,0.935506,0.888152,0.995543,1.14931,1.08669,0.850227,1.022036333
2478,2478420,1.06492,1.17367,1.11474,1.11254,1.01566,1.06178,1.27218,0.895875,1.04842,1.12421,0.903671,1.00949,0.95852,0.91287,1.00682,1.16647,1.11987,0.857804,1.045528333
2596,2596440,1.09539,1.21002,1.15202,1.14243,1.04076,1.07512,1.30399,0.919007,1.06998,1.15027,0.916625,1.02233,0.982605,0.942799,1.01804,1.18128,1.15014,0.864773,1.068754389
2714,2714460,1.1235,1.24401,1.18364,1.17412,1.06355,1.08815,1.33473,0.94158,1.08925,1.17287,0.930287,1.03312,1.00444,0.973536,1.02911,1.19605,1.17821,0.872109,1.090681222
2832,2832480,1.14721,1.27471,1.21563,1.20752,1.08324,1.09775,1.36186,0.963748,1.10972,1.19495,0.946286,1.04497,1.0259,1.00615,1.03776,1.20881,1.20827,0.879768,1.111902889
2951,2950500,1.16988,1.3056,1.24668,1.23686,1.10053,1.10739,1.39279,0.984599,1.12813,1.21753,0.967325,1.05681,1.04575,1.03641,1.04817,1.21922,1.23978,0.886154,1.132756
3069,3068520,1.19078,1.33312,1.27994,1.26458,1.11526,1.12136,1.42219,1.00486,1.1442,1.23868,0.987266,1.06902,1.06456,1.06778,1.06168,1.22812,1.26868,0.894552,1.153146
3187,3186540,1.20895,1.35842,1.31018,1.29061,1.13117,1.13629,1.45095,1.02271,1.1589,1.25731,1.00792,1.08426,1.08099,1.10061,1.07492,1.23889,1.29829,0.902821,1.173010611
3305,3304560,1.22801,1.38205,1.34055,1.31621,1.14594,1.15295,1.48169,1.04087,1.17216,1.27644,1.03153,1.10332,1.09505,1.13264,1.08707,1.25102,1.32493,0.916091,1.193251167
3423,3422580,1.24813,1.40626,1.36867,1.34194,1.15792,1.16878,1.51145,1.05707,1.18221,1.29596,1.0537,1.12659,1.1086,1.1628,1.09925,1.26699,1.3471,0.926638,1.212781
3541,3540600,1.26717,1.43293,1.39111,1.36546,1.16973,1.18277,1.53932,1.07234,1.19071,1.31109,1.07791,1.14852,1.12257,1.19356,1.11202,1.2833,1.36808,0.937204,1.231433
