Genomic Distance,Column1,10th,11th,12th,13th,14th,15th,16th,17th,18th,this work- Trajectories,2nd,3rd,4th,5th,6th,7th,8th,9th,avee
"3,777",3776640,1.40859,1.37689,1.11066,1.13892,1.29306,1.30207,1.08524,1.00269,0.979962,0.996603,1.10459,1.12419,1.09234,1.1426,1.17353,1.16145,1.39818,1.17648,1.170446944
"3,895",3894660,1.43121,1.39294,1.12148,1.16416,1.31435,1.31861,1.09255,1.00846,0.98853,1.00151,1.11414,1.12847,1.0877,1.15239,1.18593,1.1718,1.41017,1.1694,1.180766667
"4,013",4012680,1.45362,1.40834,1.12964,1.18825,1.33663,1.33446,1.09807,1.01484,0.995536,1.00785,1.1199,1.13348,1.08055,1.16423,1.19542,1.17885,1.42065,1.16009,1.190022556
"4,131",4130700,1.47545,1.41919,1.1376,1.20962,1.35799,1.35102,1.10453,1.0191,0.998708,1.01632,1.12593,1.13587,1.07198,1.17982,1.20342,1.18776,1.43274,1.14961,1.198703222
"4,249",4248720,1.49401,1.42695,1.14155,1.22741,1.3792,1.36724,1.11059,1.02278,0.997175,1.02461,1.13002,1.13993,1.06154,1.19877,1.21106,1.19667,1.44344,1.14144,1.206354722
"4,367",4366740,1.5085,1.43445,1.14657,1.24234,1.39541,1.38409,1.11933,1.02228,0.994378,1.03502,1.13693,1.14491,1.0495,1.2169,1.21677,1.20357,1.45137,1.13016,1.212915444
"4,485",4484760,1.52177,1.44107,1.15252,1.25172,1.41124,1.40092,1.12223,1.02037,0.994726,1.04797,1.14331,1.15166,1.03954,1.2338,1.2278,1.2108,1.45801,1.11972,1.219398667
"4,603",4602780,1.53879,1.44584,1.15738,1.25743,1.42718,1.41724,1.12251,1.01764,0.994171,1.06115,1.14868,1.16176,1.02725,1.24899,1.23853,1.21771,1.46052,1.10833,1.225061167
"4,721",4720800,1.5525,1.44796,1.15946,1.2608,1.43986,1.43261,1.12053,1.01327,0.99428,1.07208,1.15526,1.17433,1.01453,1.26126,1.2491,1.22338,1.46262,1.09725,1.229504444
"4,839",4838820,1.56494,1.45083,1.16508,1.25984,1.44812,1.44759,1.12619,1.00926,0.991124,1.0803,1.1631,1.18868,1.00427,1.27413,1.25837,1.23248,1.4635,1.08714,1.234163556
"4,957",4956840,1.57752,1.45464,1.16963,1.25658,1.45389,1.46165,1.13125,1.00984,0.985841,1.09042,1.17001,1.20267,0.999551,1.29054,1.26718,1.24083,1.46112,1.08134,1.239139
"5,075",5074860,1.59183,1.45397,1.1727,1.25254,1.45908,1.47239,1.13745,1.01146,0.986401,1.10071,1.17605,1.21464,0.998228,1.31254,1.2719,1.24762,1.46005,1.07706,1.244256611
"5,193",5192880,1.60664,1.44975,1.17497,1.25012,1.46428,1.48148,1.14182,1.01263,0.984341,1.11005,1.1805,1.22494,0.998171,1.33943,1.27652,1.2498,1.45864,1.07669,1.248931778
"5,311",5310900,1.62166,1.4442,1.1797,1.24762,1.46756,1.49077,1.14499,1.01604,0.986068,1.12015,1.1842,1.23217,1.00224,1.36304,1.27846,1.25089,1.45801,1.07888,1.253702667
"5,429",5428920,1.63604,1.44144,1.18567,1.24645,1.46851,1.49818,1.14793,1.02124,0.986294,1.12947,1.18491,1.23843,1.00659,1.38411,1.27904,1.25259,1.45492,1.08136,1.257954111
"5,547",5546940,1.65026,1.43686,1.19561,1.24677,1.46949,1.50597,1.15387,1.02618,0.98346,1.14135,1.18463,1.24443,1.01116,1.402,1.27603,1.25463,1.45161,1.08711,1.262301111
"5,665",5664960,1.6594,1.43313,1.20587,1.24254,1.47317,1.51541,1.1598,1.02947,0.983564,1.15425,1.18445,1.2466,1.01676,1.41748,1.27022,1.2576,1.44828,1.098,1.266444111
"5,783",5782980,1.66682,1.42684,1.21488,1.23862,1.47982,1.52939,1.15991,1.03088,0.987607,1.16537,1.18357,1.24529,1.02388,1.42739,1.26239,1.25969,1.4428,1.10946,1.269700389
"5,901",5901000,1.67293,1.41811,1.22598,1.23475,1.48967,1.54545,1.15698,1.03537,0.994333,1.17492,1.18269,1.24614,1.03739,1.43744,1.25459,1.26159,1.43605,1.12301,1.273744056
"6,019",6019020,1.67438,1.40969,1.23885,1.23149,1.50101,1.56297,1.15841,1.04147,1.00672,1.18572,1.18099,1.24751,1.05165,1.44597,1.24729,1.26422,1.43059,1.13973,1.278814444
"6,137",6137040,1.67157,1.39952,1.25361,1.23265,1.5109,1.58234,1.162,1.04717,1.01993,1.1955,1.17875,1.2525,1.06653,1.45602,1.24257,1.27009,1.42443,1.15695,1.284612778
"6,255",6255060,1.66807,1.38986,1.26353,1.23667,1.52052,1.59948,1.16497,1.05149,1.0339,1.20639,1.17355,1.26233,1.08154,1.46583,1.23904,1.27417,1.41812,1.17482,1.290237778
"6,373",6373080,1.66123,1.37838,1.27107,1.24298,1.52631,1.61521,1.1708,1.05686,1.04648,1.21895,1.16804,1.27508,1.09475,1.47948,1.23605,1.27712,1.41148,1.19386,1.295785
"6,491",6491100,1.6542,1.3662,1.27914,1.25434,1.53158,1.63091,1.17601,1.06451,1.05659,1.23216,1.16291,1.29142,1.10702,1.49309,1.23287,1.27978,1.40255,1.21364,1.301606667
"6,609",6609120,1.64689,1.35523,1.28566,1.26568,1.54122,1.6445,1.18429,1.07211,1.06391,1.24685,1.15795,1.3044,1.12069,1.50471,1.22876,1.28288,1.39088,1.23583,1.307357778
"6,727",6727140,1.64051,1.34703,1.29472,1.27963,1.54872,1.65854,1.19076,1.08528,1.07297,1.26125,1.15418,1.31678,1.12981,1.51235,1.22732,1.28188,1.37931,1.25778,1.313267778
"6,845",6845160,1.63494,1.34288,1.30263,1.29681,1.55567,1.6741,1.20019,1.09616,1.08088,1.27311,1.15369,1.32898,1.13692,1.51551,1.22582,1.28163,1.37027,1.27718,1.319298333
"6,963",6963180,1.62928,1.33719,1.30698,1.31174,1.56161,1.68774,1.20933,1.10459,1.08601,1.28301,1.15901,1.33592,1.14435,1.51318,1.22559,1.28452,1.36504,1.29735,1.32458
"7,081",7081200,1.62341,1.32586,1.30961,1.32793,1.56613,1.69925,1.21725,1.11798,1.0908,1.29497,1.16515,1.34192,1.15249,1.51382,1.22249,1.28683,1.36414,1.31535,1.329743333
"7,199",7199220,1.61903,1.31392,1.31505,1.34131,1.57248,1.71257,1.22441,1.12968,1.0937,1.30809,1.17094,1.34669,1.16074,1.51378,1.22278,1.28988,1.3654,1.33363,1.335226667
"7,317",7317240,1.61416,1.30061,1.32233,1.35472,1.57525,1.72495,1.23375,1.13629,1.09562,1.3196,1.17819,1.35031,1.16808,1.51291,1.2224,1.2928,1.36584,1.35018,1.339888333
"7,435",7435260,1.60961,1.28483,1.33122,1.3692,1.57267,1.73519,1.24443,1.143,1.09593,1.32649,1.18624,1.35371,1.17758,1.51171,1.22525,1.29463,1.3684,1.36328,1.344076111
"7,553",7553280,1.60733,1.27027,1.33994,1.38388,1.57067,1.74532,1.25432,1.15011,1.09451,1.33257,1.19553,1.36017,1.1879,1.50727,1.22985,1.29857,1.37374,1.37382,1.348653889
"7,671",7671300,1.60356,1.2534,1.34572,1.39612,1.57037,1.75247,1.26168,1.15502,1.0939,1.33729,1.20309,1.36397,1.1941,1.50082,1.23485,1.30241,1.37752,1.37748,1.351320556
"7,789",7789320,1.59958,1.23358,1.35406,1.40466,1.57365,1.75716,1.27113,1.16091,1.09611,1.34454,1.21395,1.36853,1.19849,1.48915,1.23962,1.30405,1.37928,1.38098,1.353857222
"7,907",7907340,1.5949,1.21456,1.36239,1.41398,1.57578,1.75713,1.28431,1.16745,1.09893,1.35011,1.22813,1.37025,1.19855,1.47878,1.24232,1.30535,1.38269,1.38268,1.356016111
"8,025",8025360,1.59283,1.19497,1.36867,1.42252,1.58066,1.75391,1.29729,1.17188,1.10319,1.35784,1.23847,1.37201,1.19735,1.47121,1.25096,1.30548,1.38747,1.38511,1.358434444
"8,143",8143380,1.58717,1.17874,1.37665,1.42679,1.58677,1.74792,1.30658,1.17639,1.11083,1.36901,1.24697,1.37853,1.19479,1.46746,1.26332,1.30657,1.38736,1.39227,1.36134
"8,261",8261400,1.58108,1.16339,1.3866,1.42912,1.59192,1.74386,1.31564,1.18319,1.12318,1.38343,1.2525,1.38783,1.1921,1.46741,1.27567,1.31293,1.38929,1.39702,1.365342222
"8,379",8379420,1.57608,1.14826,1.3939,1.433,1.60025,1.74105,1.3276,1.19365,1.14389,1.3987,1.2591,1.40053,1.19397,1.46811,1.28809,1.31673,1.38818,1.40188,1.370720556
"8,497",8497440,1.57135,1.13672,1.40141,1.43682,1.60984,1.7402,1.34367,1.20671,1.16263,1.41415,1.26425,1.41284,1.1987,1.46946,1.29766,1.31651,1.3842,1.40418,1.376183333
"8,615",8615460,1.56715,1.12855,1.40959,1.44117,1.61876,1.73968,1.3593,1.22237,1.18151,1.42744,1.26737,1.42776,1.20766,1.46953,1.30906,1.3161,1.3758,1.40592,1.381928889
"8,733",8733480,1.56211,1.12019,1.41966,1.4483,1.62428,1.74279,1.37291,1.23679,1.19964,1.43741,1.26958,1.44565,1.21646,1.46619,1.31793,1.32154,1.36631,1.40666,1.387466667
"8,852",8851500,1.5562,1.11534,1.43249,1.45679,1.62725,1.74927,1.38244,1.25336,1.21685,1.44629,1.26935,1.46437,1.22358,1.46066,1.32425,1.33444,1.35409,1.4128,1.393323333
"8,970",8969520,1.55063,1.11293,1.44577,1.46603,1.63539,1.75721,1.38955,1.27035,1.23443,1.45673,1.26848,1.48607,1.22927,1.4562,1.33209,1.35204,1.34145,1.41986,1.400248889
"9,088",9087540,1.54633,1.11439,1.46042,1.47497,1.64487,1.76302,1.39938,1.28375,1.25405,1.46746,1.26487,1.5088,1.23433,1.45454,1.34174,1.36815,1.3308,1.42766,1.407751667
