Genomic Distance,Column1,10th,11th,12th,13th,14th,15th,16th,17th,18th,this work- Trajectories,2nd,3rd,4th,5th,6th,7th,8th,9th,avee
"15,461",15460600,1.66616,1.73717,1.86005,2.25579,2.38252,2.75064,2.36552,1.61262,1.67933,2.18186,2.05545,2.44609,1.8184,1.88331,1.95932,2.25877,1.74398,1.53628,2.010736667
"15,579",15578600,1.69612,1.73241,1.87059,2.27768,2.38875,2.76577,2.38616,1.60664,1.674,2.20615,2.09,2.45366,1.8278,1.90252,1.97042,2.27973,1.75121,1.54954,2.023841667
"15,697",15696700,1.72896,1.72437,1.879,2.29986,2.38975,2.7776,2.40518,1.60543,1.67339,2.23109,2.12541,2.46528,1.83794,1.92376,1.98294,2.30211,1.75797,1.55467,2.036928333
"15,815",15814700,1.76284,1.71851,1.88646,2.3237,2.38798,2.78584,2.42483,1.60631,1.67349,2.25111,2.15512,2.48065,1.85109,1.94016,1.9952,2.32438,1.75941,1.55536,2.049024444
"15,933",15932700,1.79523,1.70988,1.89565,2.34518,2.38917,2.79347,2.44078,1.6139,1.68051,2.26994,2.18513,2.49624,1.86763,1.95564,2.00752,2.34703,1.75793,1.55324,2.061337222
"16,051",16050700,1.82483,1.69916,1.90423,2.36414,2.39561,2.8012,2.45141,1.62702,1.69035,2.28271,2.21432,2.50719,1.88616,1.96837,2.02226,2.37408,1.75448,1.54743,2.073052778
"16,169",16168700,1.84831,1.68132,1.91672,2.37913,2.40397,2.80869,2.45465,1.63734,1.70181,2.29335,2.24776,2.52061,1.90229,1.98259,2.03412,2.40418,1.75093,1.54348,2.083958333
"16,287",16286800,1.87038,1.66089,1.935,2.39614,2.41679,2.82202,2.46707,1.64817,1.71584,2.30443,2.28365,2.53502,1.92083,1.99927,2.04442,2.43547,1.74502,1.53373,2.096341111
"16,405",16404800,1.89121,1.64668,1.94909,2.41502,2.43061,2.83969,2.47628,1.65653,1.72787,2.31449,2.31178,2.54643,1.94044,2.01737,2.05486,2.46518,1.7373,1.51619,2.107612222
"16,523",16522800,1.91163,1.63444,1.95869,2.43578,2.44882,2.85922,2.4802,1.6624,1.73738,2.32296,2.33703,2.5541,1.96734,2.03499,2.06419,2.48993,1.72901,1.48691,2.117501111
"16,641",16640800,1.93382,1.62813,1.965,2.46262,2.47184,2.88086,2.48266,1.66468,1.74958,2.32771,2.35802,2.55681,1.99964,2.05049,2.07383,2.50738,1.71327,1.45841,2.126930556
"16,759",16758800,1.95437,1.61903,1.96865,2.48618,2.49844,2.90069,2.48482,1.67167,1.76429,2.3298,2.38535,2.55557,2.03339,2.0656,2.08925,2.53186,1.69497,1.43739,2.137295556
"16,877",16876900,1.97828,1.60544,1.97574,2.51573,2.52329,2.91588,2.48799,1.68469,1.78036,2.33414,2.4172,2.55837,2.07121,2.08142,2.10417,2.55831,1.68024,1.41626,2.149373333
