Genomic Distance,Column1,10th,11th,12th,13th,14th,15th,16th,17th,18th,this work- Trajectories,2nd,3rd,4th,5th,6th,7th,8th,9th,avee
13,13000,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
118,118020,0.228612,0.226447,0.22003,0.224173,0.218072,0.225953,0.220992,0.21943,0.220999,0.221215,0.222962,0.219107,0.221039,0.220404,0.223101,0.224651,0.217565,0.222393,0.222063611
236,236040,0.324684,0.312538,0.317742,0.318624,0.313036,0.321443,0.313857,0.317064,0.314733,0.317957,0.32026,0.315904,0.32676,0.317421,0.318607,0.332105,0.32534,0.322988,0.3195035
354,354060,0.401218,0.390376,0.398525,0.395931,0.394015,0.402145,0.388233,0.389474,0.392889,0.387632,0.409162,0.40142,0.409798,0.398127,0.397392,0.419596,0.413324,0.399363,0.399367778
472,472080,0.461254,0.454096,0.470704,0.458805,0.459906,0.471822,0.441409,0.449308,0.464953,0.444626,0.47985,0.475092,0.480806,0.467204,0.469969,0.487862,0.48509,0.467365,0.466117833
590,590100,0.514641,0.50967,0.534806,0.513409,0.514497,0.525166,0.489565,0.494043,0.519136,0.487189,0.544411,0.541025,0.53495,0.526181,0.53201,0.540306,0.545742,0.527638,0.521910278
708,708120,0.565636,0.562377,0.596117,0.558405,0.566324,0.577136,0.538799,0.528269,0.569702,0.530887,0.598315,0.592343,0.575358,0.576141,0.588003,0.581345,0.601141,0.583454,0.571652889
826,826140,0.621585,0.607984,0.650622,0.593655,0.612066,0.62449,0.580432,0.56199,0.615253,0.571184,0.643456,0.639715,0.609129,0.622368,0.640626,0.621755,0.648879,0.633745,0.616607444
944,944160,0.667687,0.652037,0.703638,0.634112,0.649813,0.672758,0.618385,0.593326,0.652139,0.612932,0.68577,0.682297,0.641926,0.664361,0.689529,0.662203,0.686809,0.681447,0.658398278
"1,062",1062180,0.70746,0.689524,0.751971,0.673307,0.682797,0.715238,0.65199,0.62527,0.687731,0.653323,0.72818,0.71886,0.671547,0.700473,0.739309,0.698922,0.721419,0.724811,0.696785111
"1,180",1180200,0.744399,0.723665,0.803863,0.71227,0.713789,0.756525,0.684145,0.654203,0.720653,0.686054,0.772455,0.750942,0.702082,0.733163,0.787775,0.734579,0.754124,0.76813,0.733489778
"1,298",1298220,0.774873,0.753556,0.860448,0.750158,0.741712,0.794889,0.717028,0.676046,0.752414,0.714862,0.817157,0.776453,0.728786,0.765733,0.833237,0.769445,0.786009,0.807264,0.767781667
"1,416",1416240,0.803293,0.783024,0.915372,0.787501,0.769753,0.830496,0.749784,0.693793,0.781599,0.741409,0.860099,0.798445,0.752416,0.790358,0.875635,0.806368,0.819738,0.844424,0.800194833
"1,534",1534260,0.827604,0.809922,0.966573,0.819687,0.794822,0.863351,0.782116,0.70583,0.809558,0.763797,0.898451,0.819736,0.777602,0.810291,0.912112,0.841633,0.855017,0.87812,0.829790111
"1,652",1652280,0.851924,0.834459,1.01523,0.849641,0.820854,0.893857,0.820086,0.71436,0.841051,0.790043,0.931177,0.841997,0.801955,0.827043,0.945812,0.877115,0.894806,0.910983,0.859021833
"1,770",1770300,0.880283,0.858656,1.06175,0.879795,0.853531,0.920392,0.859948,0.722899,0.870697,0.816243,0.957272,0.860408,0.823397,0.838847,0.980022,0.912154,0.9328,0.943984,0.887393222
"1,888",1888320,0.908927,0.880635,1.10196,0.91005,0.884397,0.944419,0.89808,0.731729,0.893007,0.841096,0.977475,0.882211,0.845062,0.843547,1.01259,0.948797,0.966108,0.974829,0.913606611
"2,006",2006340,0.934163,0.90547,1.14044,0.939155,0.915969,0.967309,0.933055,0.737135,0.915517,0.86388,0.994193,0.90473,0.865182,0.85124,1.04413,0.984437,0.994409,1.00582,0.938679667
"2,124",2124360,0.95865,0.932338,1.17413,0.966684,0.943568,0.991653,0.965846,0.740728,0.937813,0.882108,1.0115,0.925781,0.884783,0.860653,1.07781,1.02017,1.01607,1.03413,0.9624675
"2,242",2242380,0.982348,0.958262,1.20736,0.994001,0.968809,1.01703,0.998924,0.747257,0.961202,0.899176,1.0319,0.942799,0.905276,0.871036,1.10838,1.05478,1.03152,1.05889,0.985497222
