Genomic Distance,Column1,10th,11th,12th,13th,14th,15th,16th,17th,18th,this work- Trajectories,2nd,3rd,4th,5th,6th,7th,8th,9th,avee
"2,360",2360400,1.00731,0.980077,1.24202,1.02394,0.994927,1.04377,1.03525,0.759271,0.985382,0.91595,1.05404,0.959229,0.930296,0.88111,1.13716,1.08567,1.04224,1.08244,1.008893444
"2,478",2478420,1.0307,1.00148,1.27431,1.05076,1.01436,1.06983,1.06861,0.771732,1.01216,0.93649,1.07779,0.974722,0.956989,0.89148,1.16121,1.11386,1.05124,1.10539,1.031284056
"2,596",2596440,1.05088,1.02119,1.30444,1.08103,1.03149,1.09221,1.0994,0.786828,1.04089,0.960583,1.0959,0.987213,0.984681,0.902274,1.18514,1.14382,1.06562,1.12828,1.053437167
"2,714",2714460,1.06692,1.03699,1.33261,1.10966,1.04369,1.11427,1.12908,0.802397,1.0724,0.984605,1.11094,1.00018,1.01022,0.913067,1.21057,1.16906,1.07991,1.15005,1.074256611
"2,832",2832480,1.08599,1.05181,1.36224,1.13902,1.05048,1.138,1.16016,0.820987,1.10385,1.00482,1.12354,1.01696,1.03391,0.921743,1.23521,1.19586,1.09596,1.17032,1.095047778
"2,951",2950500,1.10569,1.06499,1.38825,1.16803,1.05792,1.16219,1.19009,0.839643,1.13462,1.02461,1.13731,1.03101,1.05523,0.930072,1.25808,1.22464,1.11105,1.19039,1.115211944
"3,069",3068520,1.12787,1.07182,1.41135,1.20004,1.06666,1.18368,1.21758,0.853955,1.16267,1.04337,1.14775,1.04731,1.07291,0.940433,1.28111,1.24737,1.1258,1.20867,1.133908222
"3,187",3186540,1.14721,1.08082,1.43185,1.23227,1.07337,1.20482,1.24373,0.874,1.18707,1.06254,1.15871,1.06318,1.09145,0.950052,1.30067,1.269,1.14186,1.22836,1.152275667
"3,305",3304560,1.16503,1.09091,1.45239,1.25973,1.07906,1.22485,1.2707,0.898714,1.21297,1.08021,1.16788,1.07971,1.11006,0.96324,1.31711,1.29324,1.15696,1.2505,1.170736889
"3,423",3422580,1.18021,1.10119,1.47135,1.2843,1.08426,1.2433,1.29785,0.921043,1.23889,1.09751,1.17662,1.09661,1.13005,0.977761,1.33249,1.32023,1.17295,1.27189,1.188805778
"3,541",3540600,1.19551,1.10824,1.4912,1.30706,1.08789,1.26166,1.32323,0.943748,1.26178,1.1179,1.18429,1.11217,1.14916,0.992832,1.3473,1.345,1.18807,1.29119,1.206012778
"3,659",3658620,1.21082,1.1137,1.50828,1.33116,1.09527,1.27688,1.34779,0.966794,1.28283,1.14082,1.19175,1.12578,1.16812,1.00716,1.36438,1.36783,1.20372,1.31136,1.223024667
"3,777",3776640,1.22565,1.11782,1.52663,1.35439,1.10398,1.29056,1.3707,0.985076,1.30435,1.16175,1.19778,1.13994,1.18592,1.02026,1.38169,1.38976,1.21678,1.33241,1.239191444
"3,895",3894660,1.2364,1.1202,1.54401,1.37692,1.11396,1.30279,1.39362,1.00493,1.3229,1.18071,1.20398,1.15327,1.20188,1.02724,1.39775,1.40975,1.22935,1.35152,1.253954444
"4,013",4012680,1.2467,1.12618,1.55734,1.39948,1.12743,1.31591,1.41791,1.02099,1.34589,1.19729,1.20933,1.16307,1.22085,1.0368,1.4138,1.42689,1.24166,1.36616,1.268537778
"4,131",4130700,1.25806,1.13262,1.56909,1.41873,1.1389,1.32692,1.44281,1.03534,1.37155,1.21413,1.21892,1.17278,1.2398,1.0464,1.42949,1.44393,1.25719,1.38119,1.283213889
"4,249",4248720,1.26926,1.13695,1.57911,1.43719,1.1509,1.34036,1.46781,1.04603,1.39318,1.22717,1.23037,1.17905,1.26003,1.05407,1.4426,1.45998,1.27265,1.39414,1.296713889
"4,367",4366740,1.28575,1.14181,1.58838,1.45266,1.16209,1.35174,1.49168,1.05738,1.41733,1.24146,1.2435,1.18425,1.28,1.05762,1.45713,1.47269,1.28706,1.40667,1.309955556
"4,485",4484760,1.30533,1.14829,1.59833,1.4626,1.17153,1.36043,1.51632,1.07157,1.4434,1.25673,1.26029,1.18737,1.29918,1.0588,1.47055,1.48218,1.30083,1.41878,1.322917222
"4,603",4602780,1.32553,1.15201,1.60752,1.4714,1.18033,1.36619,1.53883,1.08471,1.47011,1.27139,1.27473,1.19211,1.31854,1.0563,1.48288,1.49229,1.31342,1.4309,1.334955
"4,721",4720800,1.34508,1.15312,1.61741,1.48007,1.18587,1.36891,1.56002,1.09798,1.49794,1.28596,1.28577,1.19757,1.34034,1.04942,1.49213,1.50237,1.32559,1.44282,1.346020556
"4,839",4838820,1.36871,1.15451,1.62841,1.48773,1.19061,1.37626,1.58032,1.11378,1.5254,1.30031,1.29715,1.2052,1.36416,1.04072,1.4995,1.51127,1.33896,1.45371,1.357595
"4,957",4956840,1.39101,1.15644,1.63787,1.4942,1.19837,1.38513,1.60048,1.12923,1.55266,1.31377,1.30643,1.21276,1.38848,1.03381,1.50742,1.51739,1.35398,1.46618,1.369200556
"5,075",5074860,1.41365,1.15649,1.645,1.49899,1.20465,1.39481,1.62151,1.14339,1.5768,1.32828,1.31628,1.21964,1.41302,1.02988,1.5148,1.52202,1.36888,1.47825,1.380352222
"5,193",5192880,1.43894,1.15674,1.64945,1.50425,1.21196,1.39883,1.6421,1.15742,1.59664,1.3458,1.32749,1.2276,1.43906,1.03007,1.52109,1.52675,1.3799,1.49201,1.39145
"5,311",5310900,1.46217,1.15414,1.65433,1.50736,1.22246,1.40294,1.66254,1.17329,1.61572,1.36559,1.34019,1.23483,1.46309,1.03353,1.53006,1.53094,1.38962,1.50605,1.402713889
"5,429",5428920,1.48338,1.15163,1.659,1.50752,1.23266,1.4019,1.68379,1.18732,1.63209,1.38321,1.35365,1.24215,1.48743,1.04011,1.53728,1.53737,1.39862,1.52026,1.413298333
"5,547",5546940,1.5039,1.14905,1.66074,1.50665,1.24391,1.40064,1.70624,1.20244,1.64848,1.39932,1.36623,1.25313,1.51047,1.04549,1.54332,1.54477,1.40536,1.5323,1.423468889
"5,665",5664960,1.52584,1.14958,1.66166,1.50607,1.25386,1.40314,1.7253,1.21833,1.66322,1.41384,1.37765,1.26965,1.53333,1.05826,1.55033,1.5506,1.41132,1.5489,1.434493333
"5,783",5782980,1.55075,1.15005,1.6628,1.50691,1.26229,1.40356,1.74672,1.23442,1.67485,1.43009,1.38919,1.28672,1.55648,1.06998,1.55577,1.55512,1.41675,1.56947,1.445662222
"5,901",5901000,1.57776,1.15539,1.66702,1.51022,1.26941,1.40687,1.76764,1.2534,1.68736,1.4476,1.40097,1.30702,1.58011,1.0787,1.56018,1.55802,1.42218,1.59166,1.457861667
"6,019",6019020,1.60309,1.16554,1.67458,1.51642,1.27562,1.41286,1.78748,1.26945,1.69938,1.4643,1.41329,1.32554,1.6052,1.08984,1.56324,1.56226,1.4294,1.61657,1.470781111
"6,137",6137040,1.62925,1.17516,1.68281,1.52237,1.2813,1.41879,1.8036,1.28651,1.71259,1.48228,1.42703,1.34581,1.63288,1.10224,1.56675,1.56816,1.43729,1.64429,1.484395
"6,255",6255060,1.65474,1.18553,1.6917,1.52752,1.28852,1.42278,1.8199,1.30257,1.72494,1.50042,1.44099,1.36467,1.6607,1.11566,1.5681,1.5734,1.44373,1.67427,1.497785556
"6,373",6373080,1.67972,1.19519,1.6983,1.52693,1.29334,1.42753,1.83556,1.31834,1.73921,1.51876,1.45377,1.38301,1.68685,1.12819,1.57046,1.57489,1.44935,1.70353,1.510162778
"6,491",6491100,1.70547,1.20601,1.70601,1.52629,1.29957,1.43074,1.85248,1.33471,1.75942,1.53583,1.46564,1.39996,1.70731,1.14259,1.57402,1.57613,1.45172,1.73518,1.522726667
"6,609",6609120,1.73197,1.21409,1.71493,1.5257,1.30422,1.43274,1.87004,1.34953,1.7787,1.55335,1.47504,1.41842,1.72533,1.1583,1.58148,1.57601,1.45528,1.76627,1.535077778
"6,727",6727140,1.75815,1.22071,1.72405,1.52621,1.30819,1.43415,1.88788,1.36274,1.79818,1.5705,1.48469,1.43346,1.73905,1.17388,1.59092,1.5725,1.45994,1.79395,1.546619444
"6,845",6845160,1.78239,1.2239,1.73043,1.52699,1.31103,1.43808,1.90792,1.37717,1.81501,1.58871,1.49098,1.4477,1.74861,1.18456,1.602,1.56957,1.46621,1.81893,1.557232778
"6,963",6963180,1.80674,1.22528,1.73748,1.5301,1.31052,1.44244,1.92779,1.39034,1.83009,1.60629,1.49683,1.45953,1.75259,1.19392,1.61045,1.5681,1.47287,1.84431,1.566981667
"7,081",7081200,1.82846,1.22382,1.74633,1.53153,1.30919,1.44881,1.94661,1.40568,1.84619,1.62232,1.50001,1.46971,1.75636,1.20318,1.61991,1.5677,1.47824,1.86918,1.576290556
"7,199",7199220,1.84852,1.22414,1.75336,1.53095,1.30565,1.45742,1.9639,1.42407,1.86281,1.6361,1.50413,1.47895,1.76258,1.21002,1.6293,1.56638,1.48269,1.89466,1.585312778
"7,317",7317240,1.86976,1.22473,1.75908,1.52827,1.30113,1.46958,1.97901,1.44185,1.87652,1.64985,1.51095,1.48591,1.76982,1.21444,1.6395,1.56709,1.48544,1.92018,1.594061667
"7,435",7435260,1.88902,1.2231,1.76526,1.52749,1.2976,1.48285,1.99193,1.45924,1.88956,1.66759,1.51783,1.48903,1.77672,1.21711,1.64938,1.56899,1.48606,1.94374,1.602361111
"7,553",7553280,1.90466,1.22379,1.7758,1.52242,1.29408,1.49809,2.00372,1.47573,1.89977,1.68605,1.52535,1.49113,1.78047,1.22228,1.65537,1.57493,1.48289,1.96694,1.610192778
"7,671",7671300,1.91493,1.22544,1.78435,1.52317,1.28883,1.51322,2.01795,1.49057,1.90735,1.70333,1.53097,1.48905,1.78329,1.22671,1.66113,1.57826,1.47943,1.98624,1.616901111
"7,789",7789320,1.92164,1.22763,1.79288,1.5229,1.2824,1.52954,2.03018,1.50458,1.91257,1.7174,1.54134,1.4872,1.78631,1.22836,1.66667,1.58092,1.47841,2.00424,1.623065
"7,907",7907340,1.92705,1.2315,1.80051,1.52423,1.27867,1.54493,2.04284,1.51911,1.91709,1.72803,1.55084,1.48699,1.78928,1.22875,1.66911,1.58635,1.48057,2.02263,1.62936
"8,025",8025360,1.93031,1.24008,1.80824,1.52178,1.27527,1.55851,2.05435,1.53391,1.92006,1.73397,1.5578,1.48669,1.79282,1.22774,1.67127,1.59124,1.48411,2.03982,1.634887222
"8,143",8143380,1.93396,1.24762,1.81526,1.52208,1.27552,1.57233,2.06597,1.55273,1.92486,1.74175,1.56144,1.48773,1.79631,1.22795,1.67253,1.59458,1.4911,2.05954,1.641292222
"8,261",8261400,1.93766,1.25926,1.82216,1.5216,1.27698,1.5842,2.07844,1.57282,1.92792,1.75109,1.56762,1.4913,1.79917,1.22981,1.66969,1.59936,1.49703,2.08107,1.648176667
"8,379",8379420,1.93998,1.27223,1.82895,1.51901,1.277,1.5951,2.09132,1.59356,1.93079,1.76108,1.57419,1.49444,1.80175,1.23589,1.66597,1.60501,1.5047,2.10242,1.655188333
"8,497",8497440,1.94275,1.28503,1.83152,1.517,1.2778,1.6038,2.10511,1.6087,1.93383,1.76762,1.58343,1.49728,1.80449,1.24506,1.66014,1.60904,1.51271,2.12401,1.661628889
"8,615",8615460,1.94522,1.29702,1.83291,1.51845,1.27867,1.61255,2.11785,1.62009,1.93771,1.77207,1.59212,1.50169,1.8084,1.25449,1.65448,1.61093,1.51954,2.14483,1.667723333
"8,733",8733480,1.95066,1.30752,1.834,1.51871,1.2801,1.62224,2.12736,1.63004,1.93929,1.77627,1.59797,1.51036,1.8147,1.2634,1.64704,1.6109,1.52394,2.16597,1.673359444
"8,852",8851500,1.95777,1.31501,1.83478,1.5185,1.28318,1.63107,2.13513,1.63923,1.94209,1.77977,1.60532,1.52277,1.82256,1.27472,1.63984,1.6117,1.52312,2.1892,1.679208889
"8,970",8969520,1.966,1.32588,1.83495,1.51732,1.28534,1.64276,2.14181,1.64626,1.94438,1.78212,1.61027,1.53805,1.82949,1.2857,1.63128,1.61629,1.52283,2.21679,1.685417778
"9,088",9087540,1.97527,1.34155,1.83296,1.51604,1.28857,1.65517,2.1503,1.65352,1.94804,1.78302,1.61387,1.5545,1.82895,1.29351,1.61872,1.62067,1.52179,2.24482,1.691181667
"9,206",9205560,1.98553,1.35423,1.82759,1.51487,1.28929,1.66971,2.15946,1.65878,1.94972,1.78724,1.61427,1.57163,1.82372,1.30413,1.60536,1.62717,1.51943,2.27361,1.69643
"9,324",9323580,1.9943,1.36793,1.81752,1.5128,1.2903,1.68461,2.16556,1.66256,1.95247,1.78871,1.61436,1.58689,1.81588,1.3151,1.59383,1.63558,1.51737,2.30175,1.700973333
"9,442",9441600,2.0032,1.38026,1.80614,1.5112,1.29386,1.7012,2.16758,1.66806,1.95363,1.79484,1.61418,1.5987,1.81121,1.32179,1.57963,1.6418,1.51527,2.32714,1.704982778
"9,560",9559620,2.01068,1.39183,1.79572,1.50558,1.29176,1.71367,2.16893,1.66914,1.95523,1.80344,1.61414,1.60778,1.81057,1.33285,1.56531,1.6452,1.51859,2.34843,1.708269444
"9,678",9677640,2.01736,1.40568,1.78645,1.5016,1.2916,1.72325,2.174,1.67092,1.95931,1.81519,1.61113,1.61948,1.81557,1.34367,1.5533,1.65168,1.52741,2.36688,1.713026667
"9,796",9795660,2.02687,1.42141,1.7749,1.49912,1.2917,1.73191,2.18108,1.6711,1.96262,1.82906,1.60297,1.63195,1.82397,1.35444,1.53914,1.65604,1.53575,2.38264,1.717592778
"9,914",9913680,2.04057,1.43955,1.76244,1.49501,1.29023,1.74026,2.18886,1.67027,1.96708,1.84659,1.59671,1.64302,1.83383,1.36302,1.52238,1.6587,1.54176,2.39613,1.722022778
"10,032",10031700,2.05728,1.45736,1.74986,1.48813,1.29067,1.74879,2.19541,1.6683,1.97047,1.86163,1.59261,1.65014,1.84364,1.37146,1.50291,1.66244,1.54405,2.40939,1.725807778
"10,150",10149700,2.07683,1.47505,1.73517,1.47831,1.28837,1.75546,2.20103,1.67113,1.97339,1.87719,1.587,1.6562,1.85168,1.37718,1.4823,1.66921,1.54063,2.42239,1.728806667
"10,268",10267700,2.09363,1.48905,1.72338,1.46507,1.28613,1.75993,2.20809,1.67477,1.97396,1.89106,1.58251,1.65995,1.85617,1.38203,1.46529,1.67709,1.53342,2.43567,1.730955556
"10,386",10385800,2.10951,1.50401,1.71152,1.45286,1.28775,1.76025,2.21387,1.67727,1.9737,1.90658,1.58177,1.66709,1.86031,1.38985,1.45068,1.68642,1.52547,2.44601,1.733606667
"10,504",10503800,2.13123,1.51638,1.70077,1.44073,1.29233,1.76308,2.21953,1.68523,1.97226,1.92189,1.57744,1.67464,1.86685,1.40207,1.43713,1.70028,1.5213,2.45431,1.737636111
"10,622",10621800,2.15374,1.52801,1.69003,1.42882,1.29636,1.76426,2.22417,1.6935,1.96722,1.93429,1.57075,1.68316,1.87318,1.41696,1.42548,1.71405,1.52078,2.46064,1.741411111
"10,740",10739800,2.17704,1.53885,1.67566,1.42219,1.30078,1.76854,2.22814,1.69972,1.95771,1.94608,1.56144,1.69308,1.88282,1.43726,1.41657,1.7246,1.5241,2.46679,1.745631667
"10,858",10857800,2.20339,1.54957,1.66141,1.41927,1.3037,1.77584,2.22838,1.70466,1.94765,1.95921,1.55164,1.70128,1.89374,1.45613,1.41071,1.7328,1.53197,2.47117,1.75014
"10,976",10975900,2.22877,1.55682,1.64684,1.41689,1.30543,1.78778,2.22826,1.70917,1.93807,1.97139,1.54185,1.7092,1.90695,1.47332,1.40704,1.73705,1.54022,2.47484,1.754438333
"11,094",11093900,2.25146,1.55789,1.62953,1.41131,1.30667,1.79815,2.23279,1.71563,1.93092,1.98054,1.53434,1.7189,1.91701,1.49409,1.40129,1.73996,1.55345,2.48026,1.758566111
"11,212",11211900,2.27297,1.5586,1.61256,1.40574,1.30606,1.80905,2.23855,1.72386,1.92563,1.98806,1.52974,1.72792,1.92563,1.51402,1.39791,1.7448,1.56862,2.48621,1.763107222
"11,330",11329900,2.29552,1.55614,1.59469,1.40143,1.30446,1.81846,2.24355,1.73182,1.92131,1.99516,1.52503,1.73503,1.93134,1.535,1.40066,1.75074,1.58017,2.49127,1.767321111
"11,448",11447900,2.31932,1.55179,1.57545,1.39945,1.3013,1.82736,2.2474,1.73611,1.91664,2.00287,1.52089,1.74284,1.93413,1.55703,1.40283,1.75963,1.59288,2.49619,1.771339444
"11,566",11566000,2.34625,1.54705,1.5524,1.39797,1.29796,1.8377,2.25305,1.74058,1.91393,2.00439,1.51703,1.75198,1.93601,1.58141,1.40865,1.76947,1.6042,2.50188,1.775661667
"11,684",11684000,2.37191,1.54089,1.532,1.3939,1.2916,1.85132,2.25531,1.74516,1.91286,2.00613,1.51058,1.76407,1.93894,1.60432,1.41236,1.77848,1.61902,2.50896,1.779878333
"11,802",11802000,2.40422,1.53889,1.51499,1.39027,1.28941,1.86151,2.259,1.74749,1.90814,2.01514,1.50145,1.77872,1.94536,1.62379,1.41507,1.78275,1.63443,2.51946,1.785005
"11,920",11920000,2.43279,1.53781,1.49972,1.38489,1.28873,1.86767,2.25906,1.75254,1.90242,2.02136,1.49043,1.79287,1.95246,1.64249,1.41636,1.78375,1.6485,2.52978,1.789090556
"12,038",12038000,2.46439,1.53615,1.48597,1.37717,1.2881,1.87234,2.2586,1.75268,1.89513,2.02968,1.47771,1.80823,1.96208,1.6614,1.41967,1.78318,1.6633,2.53938,1.793064444
"12,156",12156100,2.49713,1.53464,1.47627,1.3651,1.28683,1.87252,2.25619,1.75239,1.88921,2.03889,1.4631,1.82343,1.96984,1.6824,1.42419,1.78437,1.67648,2.54888,1.79677
"12,274",12274100,2.52931,1.52843,1.46583,1.35725,1.28821,1.86554,2.25201,1.75088,1.88073,2.04495,1.44817,1.83144,1.97463,1.70213,1.43246,1.78226,1.69309,2.55234,1.79887
"12,392",12392100,2.55774,1.52424,1.45706,1.34818,1.2941,1.85926,2.24571,1.75154,1.87406,2.05645,1.4308,1.84214,1.97854,1.71738,1.44276,1.78269,1.70876,2.55384,1.801402778
"12,510",12510100,2.5839,1.52556,1.44925,1.33975,1.29553,1.85382,2.24199,1.74785,1.87032,2.07473,1.4126,1.85185,1.98478,1.73386,1.44762,1.78951,1.72278,2.55667,1.804576111
"12,628",12628100,2.61123,1.5258,1.4429,1.33471,1.29698,1.84818,2.24027,1.74446,1.86803,2.09162,1.39264,1.8598,1.99456,1.74786,1.45303,1.79953,1.73461,2.56095,1.808175556
"12,746",12746200,2.63557,1.52613,1.43933,1.33352,1.3002,1.84713,2.23791,1.73976,1.86815,2.108,1.37354,1.86538,2.01005,1.76182,1.45484,1.80934,1.74117,2.56745,1.812182778
"12,864",12864200,2.6601,1.52975,1.43994,1.33193,1.30565,1.84986,2.23589,1.73792,1.87167,2.12113,1.35361,1.86614,2.02649,1.77691,1.45673,1.81748,1.75027,2.57547,1.817052222
"12,982",12982200,2.68308,1.53791,1.44118,1.3329,1.31569,1.84965,2.23363,1.73647,1.87112,2.13361,1.33108,1.86304,2.04323,1.79535,1.45507,1.82423,1.76208,2.58479,1.821895
"13,100",13100200,2.70834,1.54441,1.44314,1.33664,1.32291,1.85071,2.23153,1.73666,1.87229,2.15008,1.30803,1.85549,2.06038,1.8123,1.45641,1.82836,1.77154,2.59472,1.826885556
"13,218",13218200,2.73189,1.55212,1.44272,1.33968,1.33301,1.85569,2.2278,1.7397,1.87549,2.16981,1.28946,1.84173,2.07528,1.83078,1.45987,1.83409,1.78068,2.60216,1.832331111
"13,336",13336300,2.75604,1.55385,1.43786,1.34864,1.34499,1.85686,2.22624,1.74215,1.87974,2.19074,1.27601,1.82788,2.08841,1.84961,1.4666,1.84177,1.78896,2.61081,1.838175556
"13,454",13454300,2.78295,1.55274,1.43445,1.35652,1.36099,1.85729,2.21978,1.74536,1.88525,2.21136,1.26059,1.81668,2.10145,1.87311,1.46755,1.85069,1.79756,2.62253,1.844269444
"13,572",13572300,2.80788,1.54401,1.42647,1.36867,1.37766,1.85996,2.20994,1.74818,1.89228,2.23403,1.2463,1.80646,2.10974,1.89986,1.46933,1.86074,1.81084,2.63412,1.850359444
"13,690",13690300,2.83277,1.52669,1.42023,1.37739,1.39325,1.86125,2.19726,1.75283,1.89963,2.25339,1.23174,1.79409,2.11537,1.92748,1.47443,1.86462,1.82116,2.64755,1.855062778
"13,808",13808300,2.85246,1.51584,1.41705,1.39061,1.40121,1.86061,2.18731,1.75482,1.90713,2.27052,1.21744,1.78206,2.11789,1.95256,1.48131,1.87078,1.83709,2.66051,1.859844444
"13,926",13926400,2.86789,1.50623,1.41939,1.40102,1.40538,1.8657,2.17923,1.75617,1.91478,2.28445,1.20419,1.7673,2.11725,1.97584,1.49327,1.87777,1.85665,2.66918,1.864538333
"14,044",14044400,2.8823,1.49815,1.42601,1.40966,1.41082,1.87301,2.17138,1.75446,1.92327,2.29958,1.19729,1.75242,2.11232,2.00299,1.50609,1.88326,1.87384,2.6754,1.869569444
"14,162",14162400,2.8959,1.48593,1.43065,1.41767,1.4147,1.8787,2.16781,1.75388,1.93492,2.31525,1.18933,1.73336,2.10582,2.02425,1.52257,1.89447,1.88926,2.68258,1.874280556
"14,280",14280400,2.91323,1.47206,1.43252,1.43503,1.42457,1.88249,2.16638,1.75492,1.94747,2.33114,1.18919,1.71931,2.0998,2.04008,1.54372,1.91141,1.9045,2.69482,1.881257778
"14,398",14398400,2.92913,1.46079,1.42938,1.45394,1.42945,1.88363,2.16252,1.75579,1.95624,2.34816,1.19732,1.70448,2.09789,2.04999,1.56415,1.92613,1.92137,2.70783,1.887677222
"14,517",14516500,2.94468,1.4574,1.42403,1.4739,1.43406,1.88465,2.15406,1.75835,1.96677,2.36504,1.21053,1.68992,2.09945,2.0609,1.58349,1.93845,1.94103,2.72182,1.894918333
"14,635",14634500,2.95826,1.44829,1.42152,1.49505,1.4356,1.88804,2.14582,1.76171,1.97614,2.38325,1.22597,1.67745,2.10209,2.07104,1.5981,1.94914,1.96423,2.73368,1.901965556
"14,753",14752500,2.97225,1.44766,1.4209,1.51524,1.43438,1.89187,2.13951,1.76024,1.97907,2.39476,1.24942,1.66256,2.10812,2.07546,1.6125,1.96012,1.98887,2.74108,1.908556111
"14,871",14870500,2.98616,1.45305,1.42523,1.53462,1.43767,1.8951,2.13661,1.75989,1.98131,2.40234,1.27568,1.6463,2.11794,2.07526,1.63196,1.97272,2.01509,2.74584,1.916265
"14,989",14988500,2.99584,1.4612,1.42961,1.5554,1.43757,1.8984,2.13367,1.75849,1.97804,2.40902,1.30626,1.63026,2.13085,2.07812,1.65173,1.98464,2.04012,2.74865,1.923770556
"15,107",15106600,3.00823,1.47106,1.43016,1.57303,1.4366,1.90695,2.12519,1.75484,1.96625,2.41282,1.33649,1.61113,2.14938,2.07631,1.66791,1.99254,2.06415,2.75047,1.929639444
"15,225",15224600,3.01806,1.47695,1.43324,1.59624,1.43645,1.91222,2.1145,1.75294,1.95775,2.41555,1.37071,1.5976,2.16648,2.07107,1.68039,2.00408,2.09213,2.75325,1.936089444
"15,343",15342600,3.02454,1.48093,1.4423,1.61989,1.43449,1.91737,2.10019,1.75036,1.94925,2.4167,1.40086,1.58787,2.18075,2.06436,1.68761,2.01294,2.11934,2.75967,1.941634444
"15,461",15460600,3.0319,1.4782,1.45166,1.64672,1.43603,1.92392,2.08595,1.74414,1.94815,2.41645,1.42482,1.58208,2.19257,2.06025,1.68844,2.02038,2.14927,2.76147,1.9468
