Genomic Distance,Column1,10th,11th,12th,13th,14th,15th,16th,17th,18th,this work- Trajectories,2nd,3rd,4th,5th,6th,7th,8th,9th,avee
13,13000,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
118,118020,0.214978,0.218972,0.218791,0.221062,0.221276,0.217689,0.218809,0.219039,0.219914,0.224768,0.221171,0.2206,0.224033,0.218864,0.219126,0.217473,0.222245,0.217192,0.219777889
236,236040,0.300291,0.311471,0.304609,0.317718,0.325654,0.318769,0.322226,0.300974,0.330085,0.327192,0.327938,0.318671,0.313848,0.317616,0.31572,0.307973,0.321825,0.313384,0.316442444
354,354060,0.368389,0.391714,0.375787,0.391414,0.405672,0.395338,0.413668,0.376107,0.409423,0.415181,0.415544,0.397197,0.394103,0.393708,0.391373,0.379031,0.404124,0.393288,0.395058944
472,472080,0.42485,0.458283,0.438345,0.449371,0.470592,0.457673,0.49262,0.437424,0.475425,0.486219,0.493446,0.462354,0.464392,0.461143,0.454784,0.444279,0.472423,0.460971,0.461366333
590,590100,0.471394,0.503932,0.489921,0.49794,0.52812,0.517207,0.564931,0.491555,0.529777,0.551436,0.558831,0.517872,0.526075,0.516367,0.51062,0.502364,0.530397,0.522275,0.518389667
708,708120,0.514135,0.545232,0.535733,0.538701,0.573019,0.575053,0.634515,0.542585,0.579906,0.613852,0.612685,0.568412,0.577654,0.563337,0.557282,0.555846,0.585005,0.576056,0.569389333
826,826140,0.556524,0.581677,0.576747,0.580862,0.612124,0.630099,0.697929,0.582084,0.621316,0.675466,0.662136,0.621161,0.622785,0.605164,0.59988,0.61067,0.633037,0.62515,0.616378389
944,944160,0.593236,0.613598,0.612833,0.62634,0.649093,0.684181,0.757258,0.617614,0.657253,0.7296,0.70981,0.674038,0.667198,0.642352,0.643337,0.657931,0.671897,0.666063,0.659646222
"1,062",1062180,0.63039,0.645187,0.649471,0.670838,0.686839,0.732861,0.808193,0.64589,0.694139,0.787491,0.753122,0.721623,0.707814,0.678359,0.679419,0.700075,0.705078,0.708149,0.700274333
"1,180",1180200,0.668656,0.680777,0.680947,0.710175,0.722301,0.778119,0.857525,0.678158,0.7268,0.841363,0.795994,0.769235,0.746172,0.712433,0.713074,0.739255,0.736386,0.748046,0.739189778
"1,298",1298220,0.708148,0.715347,0.712538,0.745604,0.753281,0.816966,0.902208,0.706181,0.761976,0.891408,0.837774,0.812403,0.784285,0.742212,0.742177,0.782444,0.765948,0.785545,0.775913611
"1,416",1416240,0.748508,0.750299,0.747209,0.774333,0.788655,0.853535,0.94478,0.731189,0.797538,0.936407,0.879824,0.854089,0.819274,0.768954,0.772426,0.821366,0.796994,0.819435,0.811378611
"1,534",1534260,0.783529,0.782015,0.781056,0.804749,0.823748,0.886787,0.988853,0.749699,0.833242,0.97757,0.919088,0.887814,0.85142,0.796495,0.799901,0.858093,0.825239,0.853734,0.844612889
"1,652",1652280,0.821103,0.813604,0.814054,0.83487,0.865202,0.918166,1.03547,0.763497,0.867648,1.01436,0.960997,0.919329,0.885534,0.822258,0.827671,0.892613,0.852014,0.889953,0.877685722
"1,770",1770300,0.85375,0.845604,0.846978,0.865637,0.903867,0.95028,1.08141,0.782588,0.901237,1.0454,1.0027,0.951262,0.916465,0.848031,0.856232,0.920791,0.877611,0.924364,0.909678167
"1,888",1888320,0.884887,0.878713,0.881304,0.894959,0.941696,0.986595,1.12783,0.799617,0.931922,1.06839,1.04639,0.980376,0.945491,0.876534,0.883564,0.945508,0.904257,0.958844,0.940937611
"2,006",2006340,0.912274,0.905074,0.915904,0.919993,0.978018,1.02328,1.17115,0.818471,0.955754,1.08755,1.0919,1.00517,0.973718,0.905986,0.906655,0.969026,0.933151,0.988525,0.970088833
"2,124",2124360,0.943765,0.928227,0.949837,0.942102,1.01416,1.05575,1.21282,0.834031,0.976469,1.10588,1.13507,1.02985,1.00287,0.935592,0.932414,0.989945,0.960799,1.01645,0.998112833
"2,242",2242380,0.969409,0.950426,0.986815,0.960008,1.04913,1.08419,1.25815,0.849586,0.993387,1.12233,1.17619,1.05798,1.03445,0.964906,0.958565,1.01062,0.984821,1.04493,1.025327389
"2,360",2360400,0.991302,0.978767,1.02273,0.974374,1.08543,1.1094,1.30014,0.863341,1.00793,1.13469,1.21421,1.08441,1.06277,0.992689,0.988216,1.03267,1.0115,1.07008,1.051369389
"2,478",2478420,1.01315,1.00494,1.05802,0.986718,1.11953,1.13253,1.34134,0.873563,1.02104,1.14479,1.24753,1.10792,1.08913,1.02035,1.01497,1.05754,1.04089,1.09548,1.0760795
"2,596",2596440,1.03424,1.02984,1.09163,0.995493,1.14594,1.15325,1.37859,0.883848,1.03386,1.15908,1.27988,1.12975,1.11079,1.04357,1.03949,1.07982,1.06722,1.12433,1.098923389
"2,714",2714460,1.05213,1.05396,1.12417,1.00163,1.17207,1.17538,1.41175,0.886926,1.04393,1.17159,1.31077,1.15595,1.12977,1.06448,1.06624,1.09939,1.09257,1.15276,1.120303667
"2,832",2832480,1.068,1.07666,1.15602,1.01022,1.20024,1.19763,1.44073,0.894944,1.04909,1.18214,1.34164,1.18156,1.15142,1.08624,1.09224,1.12105,1.1124,1.17951,1.141207444
"2,951",2950500,1.08472,1.10057,1.18443,1.0151,1.22734,1.2122,1.46765,0.899682,1.06033,1.1902,1.3673,1.20717,1.16863,1.10846,1.11646,1.14539,1.13074,1.2046,1.160609556
"3,069",3068520,1.10319,1.12538,1.21242,1.02075,1.2576,1.22506,1.48996,0.905953,1.06706,1.19508,1.38774,1.23304,1.18675,1.13535,1.13966,1.16855,1.14815,1.22593,1.179312389
"3,187",3186540,1.11978,1.14772,1.24049,1.02754,1.2866,1.2371,1.50659,0.911194,1.07241,1.2016,1.40769,1.25673,1.20188,1.16089,1.16261,1.1916,1.16576,1.24621,1.196910778
"3,305",3304560,1.13338,1.16862,1.26962,1.03278,1.31524,1.24896,1.52334,0.917056,1.07793,1.20945,1.42647,1.28131,1.21702,1.18671,1.18345,1.20925,1.18219,1.26513,1.213772556
"3,423",3422580,1.14782,1.18856,1.30218,1.0387,1.3396,1.26131,1.5367,0.921634,1.08588,1.21341,1.44726,1.3065,1.2319,1.21103,1.20343,1.22836,1.19547,1.28587,1.230311889
"3,541",3540600,1.15787,1.21031,1.33483,1.05025,1.35765,1.27405,1.54621,0.928226,1.09459,1.21328,1.46768,1.32788,1.24478,1.23526,1.22375,1.24104,1.20825,1.30644,1.245685889
"3,659",3658620,1.16167,1.23393,1.36924,1.06645,1.37293,1.2847,1.55645,0.938369,1.10256,1.2138,1.49167,1.34653,1.25632,1.26019,1.24385,1.25634,1.21955,1.32533,1.261104389
"3,777",3776640,1.1682,1.25185,1.40276,1.07799,1.38832,1.29637,1.56517,0.945994,1.10957,1.2165,1.51732,1.36602,1.26687,1.28441,1.26381,1.2701,1.23192,1.33964,1.275711889
"3,895",3894660,1.17119,1.2726,1.43683,1.09214,1.40425,1.30828,1.57516,0.954567,1.11809,1.21472,1.54449,1.38519,1.27752,1.30906,1.28449,1.28496,1.24246,1.35326,1.290514278
"4,013",4012680,1.17764,1.29466,1.47241,1.10739,1.41924,1.32043,1.59073,0.958692,1.12588,1.2141,1.56947,1.4039,1.28628,1.33409,1.30387,1.30087,1.25386,1.36817,1.305649
"4,131",4130700,1.18859,1.31851,1.50564,1.12251,1.43424,1.33459,1.61144,0.962697,1.13517,1.21099,1.59662,1.42112,1.2932,1.35805,1.31909,1.31544,1.27086,1.38256,1.321184278
"4,249",4248720,1.19636,1.34402,1.53892,1.1397,1.4497,1.34494,1.63211,0.965483,1.14565,1.20691,1.628,1.43712,1.30235,1.37864,1.33298,1.32976,1.28928,1.39508,1.336500167
"4,367",4366740,1.20463,1.36623,1.5738,1.1565,1.46779,1.35376,1.65188,0.969808,1.15475,1.20112,1.65824,1.44986,1.31129,1.39767,1.35016,1.34436,1.30447,1.40305,1.351076
"4,485",4484760,1.21761,1.38596,1.60941,1.17673,1.48725,1.36046,1.6709,0.975099,1.16644,1.19442,1.6859,1.46268,1.32387,1.41539,1.36749,1.35946,1.3195,1.41137,1.366107722
"4,603",4602780,1.22744,1.40589,1.6429,1.19593,1.50987,1.36396,1.69003,0.980696,1.1798,1.18714,1.71334,1.47426,1.33993,1.43291,1.38188,1.37313,1.33457,1.41934,1.380723111
"4,721",4720800,1.23729,1.423,1.67909,1.21579,1.53389,1.36701,1.70948,0.990497,1.19449,1.18339,1.73925,1.48242,1.34928,1.4495,1.39457,1.38542,1.34866,1.42893,1.395108722
"4,839",4838820,1.24924,1.44278,1.71572,1.23544,1.55686,1.36878,1.72901,1.00228,1.20982,1.17609,1.76315,1.48971,1.35992,1.4643,1.40404,1.39867,1.36727,1.43793,1.409500556
