Genomic Distance,Column1,Li 2017,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,avee
"1,888",1888320,0.641274,0.506681,0.599294,0.508427,0.521943,0.814401,0.531469,0.603972,0.494907,0.538416,0.64554,0.668116,0.541357,0.5577,0.544902,0.482914,0.549921,0.534999,0.552801,0.536238,0.5687636
"2,006",2006340,0.661455,0.510784,0.609756,0.515,0.528392,0.83817,0.534995,0.620857,0.503505,0.553479,0.663375,0.689817,0.550557,0.571975,0.55361,0.492399,0.564719,0.547289,0.57181,0.541055,0.58114995
"2,124",2124360,0.68318,0.512852,0.618873,0.521228,0.538811,0.860286,0.535836,0.636758,0.508049,0.568973,0.681767,0.71057,0.556201,0.584457,0.564224,0.502092,0.58044,0.559176,0.590389,0.54529,0.5929726
"2,242",2242380,0.702325,0.518149,0.626244,0.527711,0.548157,0.880329,0.529949,0.648858,0.508847,0.580036,0.69611,0.731381,0.56174,0.596581,0.577095,0.507842,0.59178,0.567456,0.608134,0.548518,0.6028621
"2,360",2360400,0.722004,0.523388,0.6369,0.535822,0.554776,0.897879,0.529753,0.660688,0.509515,0.591652,0.712603,0.751188,0.569424,0.607359,0.593968,0.511944,0.60552,0.57627,0.627239,0.548027,0.61329595
"2,478",2478420,0.741412,0.524047,0.646305,0.539927,0.561385,0.912055,0.533698,0.673834,0.513769,0.605098,0.726621,0.7672,0.576437,0.613413,0.607064,0.513482,0.621425,0.584074,0.642171,0.54511,0.62242635
"2,596",2596440,0.760025,0.522094,0.655675,0.540687,0.563944,0.924389,0.533781,0.687669,0.519146,0.618649,0.741528,0.785002,0.584046,0.618288,0.61967,0.511163,0.63205,0.5888,0.657994,0.543297,0.63039485
"2,714",2714460,0.779605,0.522434,0.664247,0.54055,0.572322,0.935894,0.535093,0.703274,0.525947,0.628547,0.75675,0.801942,0.595513,0.623632,0.632804,0.508534,0.643665,0.591647,0.672214,0.546804,0.6390709
"2,832",2832480,0.798611,0.531443,0.675738,0.542238,0.57915,0.947699,0.54082,0.719204,0.533924,0.639813,0.774495,0.818599,0.609387,0.630553,0.645159,0.505465,0.65564,0.595152,0.68414,0.551823,0.64895265
"2,951",2950500,0.819884,0.542785,0.683553,0.545572,0.590212,0.959362,0.547214,0.73188,0.544653,0.64871,0.795001,0.831481,0.624851,0.638534,0.654324,0.500206,0.662619,0.601385,0.696419,0.558554,0.65885995
"3,069",3068520,0.837973,0.555863,0.691705,0.549845,0.601112,0.971406,0.554557,0.742994,0.550046,0.657523,0.814095,0.843275,0.639151,0.644104,0.667206,0.493134,0.667621,0.608024,0.705404,0.568862,0.668195
"3,187",3186540,0.853799,0.566635,0.699638,0.557543,0.615559,0.980668,0.560373,0.756742,0.551858,0.662931,0.829253,0.854909,0.652577,0.6482,0.683209,0.490234,0.669806,0.612603,0.715011,0.579525,0.67705365
"3,305",3304560,0.869076,0.57575,0.706967,0.560171,0.62994,0.988922,0.567371,0.769494,0.554628,0.672743,0.843982,0.8639,0.664404,0.647283,0.693905,0.487358,0.672236,0.61457,0.720795,0.586086,0.68447905
"3,423",3422580,0.884409,0.585551,0.709264,0.564242,0.638978,0.996388,0.572568,0.779415,0.555936,0.677028,0.856143,0.874787,0.674886,0.647162,0.701727,0.483986,0.67434,0.613055,0.72448,0.589316,0.69018305
"3,541",3540600,0.897415,0.597181,0.713345,0.573972,0.649327,1.00523,0.572325,0.788802,0.561482,0.684138,0.866676,0.884235,0.683962,0.651232,0.711294,0.480396,0.675271,0.613021,0.730235,0.591059,0.6965299
"3,659",3658620,0.906988,0.611089,0.720715,0.583153,0.65802,1.01276,0.573497,0.798567,0.568673,0.691947,0.873929,0.895638,0.690977,0.657227,0.720042,0.481236,0.678365,0.611345,0.732533,0.590921,0.7028811
"3,777",3776640,0.91444,0.620521,0.726584,0.589574,0.667846,1.02012,0.573936,0.805916,0.580754,0.695027,0.877957,0.906138,0.694479,0.663311,0.725103,0.478995,0.684262,0.605502,0.734266,0.589764,0.70772475
"3,895",3894660,0.923866,0.62805,0.734972,0.597594,0.680043,1.02711,0.573795,0.814306,0.591184,0.698062,0.880336,0.917634,0.695288,0.665782,0.736932,0.477808,0.68548,0.60196,0.733127,0.592211,0.712777
"4,013",4012680,0.930559,0.633299,0.742961,0.606179,0.69414,1.03312,0.575781,0.823186,0.602589,0.703133,0.883212,0.928459,0.700217,0.669849,0.743419,0.477997,0.687593,0.599815,0.734583,0.596908,0.71834995
"4,131",4130700,0.937025,0.638045,0.751315,0.613883,0.70935,1.03908,0.578423,0.83064,0.612204,0.704233,0.884718,0.940059,0.704954,0.673888,0.752977,0.472745,0.69208,0.59753,0.734276,0.599337,0.7233381
"4,249",4248720,0.944196,0.64398,0.755031,0.620379,0.722155,1.04737,0.584704,0.837884,0.61923,0.705202,0.883923,0.954663,0.709758,0.677057,0.760689,0.468624,0.694005,0.601917,0.735765,0.604954,0.7285743
