Genomic Distance,Column1,Li 2017,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,avee
"13,572",13572300,1.64743,0.708571,1.12238,1.1684,0.813083,1.06612,1.01347,1.16243,1.13786,1.53966,0.903808,0.653146,1.13685,0.798033,0.913227,0.740549,1.02463,0.866857,1.20917,0.777419,1.02015465
"13,690",13690300,1.64618,0.715193,1.1201,1.17946,0.814794,1.06475,1.01336,1.16736,1.13949,1.56341,0.903365,0.649336,1.1358,0.800597,0.908081,0.741577,1.0196,0.871416,1.22653,0.77549,1.02279445
"13,808",13808300,1.64707,0.724623,1.12248,1.18916,0.818455,1.06795,1.00931,1.1706,1.14603,1.58856,0.900898,0.651692,1.13684,0.801237,0.90566,0.741405,1.00872,0.875794,1.23907,0.768943,1.02572485
"13,926",13926400,1.65214,0.72877,1.12058,1.20157,0.828211,1.07125,1.00584,1.17876,1.15044,1.61035,0.897695,0.65103,1.14006,0.806863,0.90815,0.737527,0.998021,0.885203,1.24983,0.765021,1.02936555
"14,044",14044400,1.65746,0.735847,1.11965,1.21276,0.835658,1.07408,1.0062,1.18711,1.1579,1.63334,0.88748,0.650917,1.14629,0.81573,0.906609,0.734505,0.987859,0.897639,1.26174,0.762807,1.03357905
"14,162",14162400,1.66748,0.744578,1.11699,1.22408,0.842453,1.07617,1.0062,1.19523,1.16231,1.65413,0.884997,0.647794,1.15138,0.825811,0.904453,0.730388,0.973166,0.903905,1.27064,0.756975,1.0369565
"14,280",14280400,1.67386,0.755742,1.11412,1.23685,0.847322,1.07967,1.01011,1.19869,1.16113,1.6731,0.885627,0.647835,1.1515,0.832624,0.902779,0.731633,0.966617,0.909491,1.28081,0.757143,1.04083265
"14,398",14398400,1.67893,0.77122,1.1082,1.25306,0.848494,1.08783,1.01818,1.20018,1.16029,1.68927,0.889024,0.651463,1.1532,0.837871,0.902179,0.733213,0.961186,0.913385,1.29073,0.752246,1.04500755
"14,517",14516500,1.68056,0.78452,1.10431,1.26999,0.848157,1.0955,1.02417,1.20274,1.16163,1.70528,0.89684,0.657448,1.15581,0.842517,0.903323,0.739321,0.954354,0.916054,1.30312,0.749356,1.04975
"14,635",14634500,1.68442,0.796718,1.10111,1.28809,0.850363,1.10497,1.02818,1.20633,1.16346,1.72458,0.905413,0.664778,1.15969,0.852129,0.906196,0.746493,0.948397,0.923833,1.31772,0.745099,1.05589845
"14,753",14752500,1.68877,0.80795,1.09603,1.30511,0.852449,1.11942,1.02882,1.20692,1.16519,1.74351,0.916219,0.666273,1.16779,0.858115,0.905252,0.748046,0.948611,0.927829,1.33431,0.740383,1.06134985
"14,871",14870500,1.69066,0.817648,1.09211,1.31999,0.857565,1.13025,1.02312,1.21502,1.17528,1.76138,0.929669,0.669287,1.16882,0.859658,0.913078,0.749075,0.949668,0.933145,1.35485,0.73359,1.06719315
"14,989",14988500,1.6922,0.826047,1.08894,1.32804,0.857894,1.14206,1.01586,1.2239,1.18638,1.77803,0.941442,0.675181,1.16688,0.85661,0.917903,0.747073,0.951329,0.937636,1.36975,0.727108,1.07151315
"15,107",15106600,1.69212,0.838141,1.08375,1.33749,0.858341,1.15632,1.01614,1.23353,1.18998,1.79065,0.958724,0.687543,1.16448,0.857118,0.917045,0.749303,0.963408,0.943062,1.38759,0.721045,1.077289
"15,225",15224600,1.69163,0.850095,1.0828,1.34457,0.860921,1.16818,1.01396,1.24666,1.19386,1.80183,0.977099,0.70574,1.15858,0.856954,0.916577,0.751641,0.968942,0.946846,1.4035,0.722675,1.083153
"15,343",15342600,1.69555,0.864356,1.07894,1.35247,0.856714,1.18353,1.01175,1.26306,1.19328,1.80863,0.995843,0.719041,1.15455,0.856276,0.920852,0.756321,0.974792,0.953263,1.41598,0.731487,1.08933425
"15,461",15460600,1.70053,0.87476,1.07965,1.3547,0.856239,1.20248,1.00949,1.27944,1.1872,1.81295,1.0153,0.73184,1.15011,0.861546,0.921021,0.760224,0.978986,0.960314,1.42526,0.741696,1.0951868
"15,579",15578600,1.70642,0.886498,1.08429,1.36005,0.855435,1.22119,1.00769,1.2967,1.1845,1.81875,1.03808,0.748666,1.15183,0.866588,0.921503,0.766571,0.981904,0.967837,1.43012,0.752306,1.1023464
"15,697",15696700,1.7151,0.903844,1.08671,1.36545,0.855311,1.23193,1.0037,1.31234,1.18532,1.81923,1.06482,0.767128,1.1538,0.863919,0.922655,0.775535,0.983825,0.965156,1.43534,0.766858,1.10889855
"15,815",15814700,1.71877,0.913835,1.09092,1.37005,0.860884,1.24004,1.00085,1.32587,1.1863,1.81651,1.08791,0.787028,1.15767,0.860434,0.920159,0.784499,0.989636,0.961993,1.43633,0.786916,1.1148302
"15,933",15932700,1.72378,0.926257,1.09184,1.37089,0.864107,1.25025,0.997719,1.33676,1.18899,1.81301,1.11342,0.804352,1.15678,0.858607,0.915337,0.792416,0.994894,0.954597,1.44181,0.80177,1.1198793
"16,051",16050700,1.73149,0.942438,1.10204,1.37234,0.87581,1.25933,0.998278,1.34573,1.19344,1.81156,1.13922,0.823655,1.16169,0.855833,0.919778,0.804132,0.996362,0.948495,1.44445,0.817913,1.1271992
"16,169",16168700,1.74355,0.961209,1.10771,1.36876,0.887026,1.26876,0.996963,1.35398,1.19579,1.81007,1.16497,0.842927,1.16585,0.848847,0.922481,0.814002,0.999951,0.94534,1.44988,0.830448,1.1339257
"16,287",16286800,1.75045,0.984368,1.11408,1.36338,0.902438,1.28274,1.0004,1.36384,1.19522,1.80416,1.18853,0.8612,1.1662,0.840227,0.920889,0.822817,1.0018,0.943335,1.45945,0.83957,1.1402547
"16,405",16404800,1.75785,1.00078,1.12157,1.35715,0.910877,1.29794,1.00377,1.37269,1.19374,1.79733,1.21348,0.879866,1.16851,0.835277,0.919155,0.832261,0.997188,0.944918,1.46501,0.842277,1.14558195
"16,523",16522800,1.75979,1.02274,1.12565,1.34773,0.907944,1.31385,1.00491,1.3777,1.19912,1.78934,1.23923,0.897701,1.17045,0.828687,0.91574,0.842579,0.992894,0.944708,1.47046,0.833536,1.14923795
"16,641",16640800,1.7697,1.04477,1.13024,1.33985,0.904875,1.32633,1.00992,1.38744,1.20432,1.77698,1.26019,0.916765,1.17205,0.822647,0.918148,0.856213,0.992909,0.948334,1.47464,0.836202,1.15462615
"16,759",16758800,1.77631,1.07406,1.13417,1.33326,0.907919,1.33421,1.01037,1.40057,1.20834,1.76679,1.281,0.93554,1.17517,0.81345,0.920654,0.865515,0.992361,0.949205,1.47785,0.837475,1.15971095
"16,877",16876900,1.77922,1.10462,1.13653,1.32642,0.916971,1.34417,1.01273,1.41173,1.21433,1.75703,1.30687,0.950939,1.17618,0.801159,0.924959,0.876834,0.990405,0.948332,1.47921,0.838801,1.164872
"16,995",16994900,1.77885,1.1364,1.13567,1.3212,0.921952,1.34838,1.02237,1.42157,1.21874,1.74464,1.3274,0.974903,1.17696,0.793204,0.937067,0.887386,0.991999,0.940153,1.48109,0.845224,1.1702579
"17,113",17112900,1.77921,1.16518,1.13296,1.31404,0.93105,1.35787,1.03359,1.42941,1.22223,1.73397,1.3509,0.995856,1.1748,0.778767,0.946471,0.892188,0.992642,0.934211,1.48195,0.848723,1.1748009
"17,231",17230900,1.77629,1.1963,1.13623,1.30072,0.940181,1.3643,1.03628,1.43705,1.22569,1.72615,1.37153,1.01729,1.17436,0.763279,0.95442,0.89823,0.989786,0.924266,1.48119,0.852844,1.1783193
"17,349",17348900,1.77448,1.22574,1.1361,1.2914,0.94706,1.37138,1.03908,1.44402,1.23551,1.71623,1.39601,1.04063,1.1765,0.755602,0.961361,0.903566,0.983642,0.920389,1.47937,0.854167,1.18261185
"17,467",17467000,1.77055,1.25638,1.13825,1.28388,0.95453,1.38454,1.03887,1.44237,1.24836,1.7013,1.41258,1.0658,1.17295,0.756527,0.965946,0.904209,0.974755,0.920249,1.47982,0.854597,1.18632315
"17,585",17585000,1.76659,1.27969,1.13164,1.281,0.956982,1.4007,1.04118,1.44084,1.25463,1.69005,1.43564,1.08911,1.17232,0.754984,0.970492,0.912784,0.968505,0.923494,1.48401,0.855011,1.1904826
"17,703",17703000,1.76316,1.30763,1.12727,1.27233,0.960523,1.41144,1.04188,1.43795,1.26024,1.6732,1.45168,1.11751,1.16722,0.755642,0.965892,0.917254,0.9627,0.924735,1.49345,0.854817,1.19332615
"17,821",17821000,1.75237,1.33249,1.12058,1.26097,0.955962,1.43251,1.03355,1.43411,1.26676,1.6588,1.46536,1.14339,1.1617,0.755322,0.959868,0.923283,0.946355,0.924702,1.5046,0.862417,1.19475495
"17,939",17939000,1.74063,1.35017,1.11682,1.24628,0.951275,1.43983,1.01355,1.42861,1.27153,1.65074,1.4791,1.17052,1.15801,0.757758,0.968929,0.925208,0.938154,0.921989,1.5166,0.884002,1.19648525
"18,057",18057100,1.72777,1.36967,1.11702,1.22753,0.936182,1.45292,0.995859,1.4188,1.2739,1.65222,1.48682,1.19517,1.14898,0.766227,0.973009,0.921499,0.918532,0.921575,1.52802,0.900756,1.19662295
"18,175",18175100,1.71111,1.38201,1.1138,1.21389,0.920288,1.47022,0.970603,1.4119,1.2792,1.65442,1.4934,1.22409,1.14609,0.78236,0.978576,0.921043,0.905074,0.923238,1.54622,0.916558,1.1982045
"18,293",18293100,1.69793,1.38748,1.11142,1.19377,0.902887,1.48963,0.946133,1.40563,1.29135,1.66263,1.49343,1.25571,1.13851,0.790704,0.982707,0.913596,0.88937,0.925969,1.55391,0.92209,1.1977428
"18,411",18411100,1.68629,1.39488,1.10469,1.17804,0.891991,1.50651,0.91556,1.39516,1.31521,1.67577,1.50672,1.28375,1.13583,0.796833,0.987708,0.904161,0.862999,0.926575,1.55588,0.9339,1.19792285
"18,529",18529100,1.67079,1.4013,1.10254,1.1636,0.89258,1.53144,0.881127,1.39214,1.34152,1.68662,1.51576,1.31373,1.13718,0.805001,0.99154,0.895663,0.824653,0.923567,1.55329,0.947674,1.19858575
"18,647",18647200,1.65141,1.4022,1.09633,1.1513,0.892703,1.55523,0.847691,1.40076,1.36362,1.69421,1.52267,1.34352,1.13913,0.821555,0.99021,0.891553,0.783179,0.922749,1.54501,0.953329,1.19841795
"18,765",18765200,1.63178,1.39666,1.08194,1.13892,0.898575,1.58407,0.826482,1.40179,1.38888,1.69104,1.5411,1.36477,1.13531,0.831069,0.984716,0.885091,0.754765,0.923313,1.54215,0.970084,1.19862525
"18,883",18883200,1.61687,1.39746,1.07647,1.13548,0.920234,1.62464,0.805344,1.40167,1.40021,1.69264,1.54981,1.38576,1.15079,0.840547,0.994828,0.879113,0.725498,0.923121,1.53989,0.975141,1.2017758
"19,001",19001200,1.60541,1.39062,1.06588,1.14275,0.934828,1.66679,0.782674,1.39772,1.42118,1.67781,1.5541,1.4175,1.16809,0.850117,1.00755,0.863732,0.687444,0.929052,1.53255,0.98084,1.20383185
"19,119",19119200,1.59903,1.38856,1.05488,1.14447,0.95686,1.71973,0.765366,1.40195,1.43361,1.66771,1.56035,1.44733,1.18229,0.862223,1.02385,0.849894,0.669874,0.942249,1.53938,0.985146,1.2097376
"19,237",19237300,1.59945,1.38749,1.03738,1.15199,0.989627,1.76838,0.76206,1.41274,1.45544,1.64728,1.55833,1.49054,1.18952,0.878517,1.03128,0.839742,0.649868,0.956368,1.55769,0.997299,1.21804955
"19,355",19355300,1.60719,1.38442,1.01676,1.15139,1.02289,1.80423,0.765873,1.42384,1.47475,1.64478,1.56034,1.52222,1.19935,0.897301,1.03544,0.837891,0.633359,0.984874,1.58154,1.01351,1.2280974
"19,473",19473300,1.61131,1.38005,0.999791,1.16787,1.04372,1.84182,0.749562,1.42572,1.49773,1.65771,1.55606,1.545,1.20575,0.932246,1.04808,0.844906,0.617383,0.999938,1.60132,1.02566,1.2375813
"19,591",19591300,1.62279,1.38062,0.976744,1.18194,1.055,1.87831,0.73694,1.4229,1.52325,1.67114,1.55012,1.56954,1.21144,0.954768,1.08238,0.844281,0.602798,1.03392,1.61485,1.03533,1.24745305
"19,709",19709300,1.63285,1.38675,0.947269,1.19866,1.06917,1.90871,0.717554,1.42495,1.55608,1.6791,1.55137,1.59216,1.22018,0.993019,1.11785,0.838784,0.604751,1.06186,1.63824,1.03911,1.25892085
"19,827",19827400,1.6341,1.40398,0.931951,1.22418,1.10337,1.93552,0.717031,1.41767,1.58318,1.6918,1.5616,1.62898,1.2297,1.03145,1.14,0.830211,0.60469,1.09041,1.66165,1.05298,1.27372265
"19,945",19945400,1.63434,1.42003,0.913319,1.24901,1.13888,1.97663,0.710951,1.41551,1.61003,1.70809,1.56071,1.65456,1.24053,1.06682,1.17006,0.811653,0.615566,1.11498,1.67239,1.06798,1.28760195
"20,063",20063400,1.6369,1.43579,0.892401,1.27771,1.17941,2.00926,0.705762,1.41045,1.6368,1.72734,1.56054,1.66363,1.26142,1.09764,1.20215,0.788764,0.615609,1.13693,1.68886,1.08576,1.3006563
"20,181",20181400,1.63582,1.44495,0.864898,1.29037,1.21607,2.0449,0.681057,1.39902,1.66148,1.75453,1.5406,1.67382,1.29085,1.11833,1.24517,0.786911,0.629841,1.15829,1.70783,1.10108,1.31229085
"20,299",20299400,1.63255,1.44865,0.84953,1.29855,1.25212,2.10512,0.675622,1.38649,1.68547,1.78208,1.53975,1.66525,1.32512,1.12736,1.26385,0.785657,0.637446,1.15952,1.72642,1.12803,1.32372925
"20,418",20417500,1.65141,1.4335,0.852054,1.31294,1.28716,2.14543,0.702744,1.37,1.70883,1.81258,1.53656,1.65038,1.36142,1.1252,1.27873,0.789857,0.656545,1.16632,1.73975,1.14388,1.3362645
"20,536",20535500,1.66089,1.40428,0.837476,1.31379,1.32513,2.1803,0.696188,1.3803,1.73142,1.84966,1.54636,1.65841,1.39272,1.11963,1.31083,0.788295,0.674168,1.18618,1.74134,1.16206,1.34797135
"20,654",20653500,1.65877,1.36817,0.821043,1.31347,1.36588,2.21232,0.696469,1.39382,1.74642,1.88335,1.55798,1.65063,1.41759,1.1127,1.31665,0.778537,0.684435,1.20384,1.75419,1.18182,1.3559042
"20,772",20771500,1.6588,1.33409,0.825037,1.3182,1.40049,2.2405,0.710502,1.40003,1.76305,1.90513,1.55873,1.63458,1.42966,1.11246,1.3211,0.775217,0.718741,1.20509,1.75281,1.19678,1.36304985
"20,890",20889500,1.63823,1.28181,0.775971,1.31948,1.44881,2.25123,0.726524,1.41608,1.75134,1.91841,1.57071,1.63288,1.46052,1.10565,1.31394,0.732324,0.742961,1.21747,1.76277,1.22784,1.3647475
"21,008",21007600,1.64643,1.21356,0.770723,1.35724,1.48934,2.25534,0.77584,1.45385,1.76197,1.9508,1.57058,1.62521,1.484,1.10289,1.28295,0.715279,0.749605,1.20995,1.76407,1.26278,1.37212035
"21,126",21125600,1.64222,1.15105,0.752181,1.37787,1.54921,2.25753,0.867153,1.47776,1.76854,1.96417,1.56111,1.58116,1.50321,1.14125,1.27583,0.716182,0.767539,1.23819,1.78209,1.36361,1.38689275
"21,244",21243600,1.61228,1.15123,0.834079,1.44762,1.62135,2.2502,0.937661,1.49434,1.69046,1.9861,1.59568,1.56365,1.56303,1.18379,1.29985,0.745067,0.787855,1.24198,1.78165,1.46045,1.4124161
"21,362",21361600,1.57488,1.18908,0.932492,1.50015,1.59455,2.1456,0.979038,1.52159,1.70392,1.96615,1.63482,1.53789,1.60364,1.25514,1.31165,0.882209,0.82118,1.28032,1.78806,1.54891,1.43856345
"21,480",21479600,1.53922,1.2567,1.1148,1.55961,1.64279,2.06221,1.10112,1.47445,1.69538,1.93806,1.56696,1.42151,1.75471,1.39171,1.23174,0.992462,0.921154,1.3057,1.77655,1.62923,1.4688033
"21,598",21597600,1.46129,1.46084,1.34457,1.58536,1.64199,1.65793,1.32656,1.28432,1.55615,1.72516,1.47148,1.01838,1.75832,1.54038,1.23415,1.17003,1.41127,1.47111,1.75888,1.75862,1.4818395
