Genomic_Distance,10th,11th,12th,13th,14th,15th,16th,17th,18th,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,avee1
16168700,2.7081,2.18128,1.357,1.43245,2.123,2.21945,1.67699,1.42353,2.20823,2.34822,2.62874,2.19128,1.8685,2.04543,2.12881,2.50917,1.90904,2.19548,2.06415
16286800,2.70083,2.20285,1.33821,1.41638,2.12242,2.24319,1.66266,1.43793,2.2076,2.34493,2.643,2.21037,1.82725,2.05125,2.14052,2.5268,1.88895,2.19902,2.064675556
16404800,2.69863,2.22188,1.31753,1.39095,2.12818,2.26643,1.64928,1.45188,2.20114,2.34166,2.65628,2.23554,1.78693,2.05751,2.16023,2.54689,1.86621,2.20263,2.065543333
16522800,2.7018,2.24009,1.29408,1.36458,2.1367,2.29002,1.63695,1.46718,2.19011,2.33334,2.67324,2.25791,1.7473,2.05956,2.17631,2.57306,1.84896,2.20744,2.066590556
16640800,2.70624,2.25453,1.26803,1.34943,2.15069,2.30609,1.61416,1.48153,2.17856,2.32274,2.69522,2.28034,1.70546,2.05707,2.18982,2.59938,1.8251,2.21771,2.066783333
16758800,2.7109,2.27434,1.24354,1.33679,2.16838,2.32926,1.58887,1.49428,2.15976,2.3142,2.71944,2.29585,1.66585,2.05764,2.19538,2.62029,1.80687,2.22109,2.066818333
16876900,2.71164,2.29801,1.22778,1.32449,2.18574,2.35735,1.56603,1.51347,2.13283,2.30749,2.74985,2.31262,1.63092,2.05748,2.20982,2.64771,1.79441,2.23083,2.069915
16994900,2.71778,2.31815,1.21255,1.31288,2.19883,2.38603,1.5395,1.53483,2.10733,2.31024,2.77895,2.33227,1.59565,2.05858,2.22731,2.67855,1.78056,2.23621,2.073677778
17112900,2.72365,2.34405,1.19733,1.30044,2.2096,2.41361,1.50593,1.55552,2.08058,2.31344,2.80586,2.35537,1.5613,2.06076,2.24645,2.70302,1.76154,2.24089,2.07663
17230900,2.7258,2.36697,1.19215,1.29002,2.21697,2.43464,1.47145,1.57351,2.05362,2.30971,2.83092,2.37486,1.52925,2.06311,2.26964,2.71887,1.7502,2.25206,2.079097222
17348900,2.72824,2.38808,1.1856,1.28171,2.21988,2.44671,1.43098,1.59164,2.02766,2.31271,2.85441,2.39531,1.497,2.06112,2.29841,2.73283,1.73881,2.26276,2.08077
17467000,2.72689,2.41342,1.17838,1.27753,2.22104,2.45708,1.39413,1.60121,1.99001,2.31265,2.88115,2.42205,1.46834,2.06129,2.32018,2.73912,1.72074,2.27174,2.080941667
17585000,2.73505,2.43055,1.18561,1.26235,2.21964,2.45933,1.37191,1.60825,1.9509,2.30728,2.90306,2.44416,1.43726,2.07119,2.34285,2.74476,1.70198,2.28016,2.080905
17703000,2.73818,2.44991,1.19563,1.24903,2.2236,2.46433,1.3628,1.61541,1.91658,2.30677,2.92642,2.45729,1.40257,2.06984,2.36132,2.75466,1.68876,2.28883,2.081773889
17821000,2.74533,2.47508,1.20362,1.2334,2.22507,2.46625,1.35983,1.61987,1.88528,2.31197,2.95346,2.46545,1.36913,2.06006,2.37506,2.76164,1.67093,2.29668,2.082117222
17939000,2.75829,2.5111,1.20826,1.20673,2.22435,2.47038,1.34932,1.62484,1.84926,2.31729,2.97982,2.47061,1.33745,2.05011,2.39456,2.76819,1.64846,2.29682,2.081435556
18057100,2.77142,2.53928,1.21735,1.1964,2.22316,2.47735,1.3422,1.63901,1.81126,2.31932,3.00664,2.46765,1.30612,2.04885,2.41873,2.7739,1.62234,2.29847,2.082191667
18175100,2.78055,2.55621,1.2229,1.18505,2.2126,2.47847,1.34032,1.65136,1.78059,2.31502,3.02104,2.47717,1.28115,2.05445,2.4406,2.76699,1.60554,2.29312,2.081285
18293100,2.77867,2.56636,1.21501,1.18374,2.19381,2.4769,1.34494,1.66031,1.75258,2.29954,3.04631,2.48558,1.24655,2.05078,2.45186,2.75532,1.59599,2.28353,2.077098889
18411100,2.78053,2.57495,1.20287,1.17971,2.17072,2.47163,1.33449,1.6657,1.71924,2.28889,3.05426,2.50747,1.21914,2.05436,2.46957,2.74788,1.5884,2.26552,2.071962778
18529100,2.77941,2.58503,1.18968,1.17476,2.14579,2.46299,1.31915,1.67422,1.68612,2.27413,3.05098,2.52275,1.19623,2.05014,2.49335,2.73143,1.57846,2.24541,2.064446111
18647200,2.77517,2.59547,1.17498,1.17403,2.114,2.45083,1.30275,1.67864,1.65246,2.25855,3.04402,2.53224,1.17447,2.04987,2.52304,2.71342,1.56461,2.22136,2.055550556
18765200,2.777,2.5986,1.16204,1.16226,2.08169,2.4258,1.28782,1.67653,1.6014,2.2493,3.04005,2.5542,1.15802,2.05092,2.54836,2.68979,1.54784,2.19734,2.044942222
18883200,2.77386,2.60353,1.14837,1.16523,2.05908,2.41027,1.27143,1.67033,1.56071,2.24639,3.02316,2.57927,1.15037,2.05621,2.57882,2.66762,1.53485,2.16549,2.036943889
19001200,2.76122,2.61219,1.13853,1.15396,2.03592,2.38944,1.27298,1.66693,1.51,2.23608,2.99943,2.60468,1.15571,2.06261,2.61801,2.64206,1.52195,2.12102,2.027928889
19119200,2.74383,2.62642,1.14394,1.14891,2.0072,2.38104,1.27288,1.67102,1.46999,2.22507,2.9901,2.63482,1.16333,2.0811,2.67689,2.61917,1.49924,2.08779,2.024596667
19237300,2.7259,2.64122,1.15679,1.13272,1.98901,2.38365,1.26227,1.66626,1.43393,2.22395,2.97654,2.66122,1.18203,2.10471,2.74442,2.60291,1.48151,2.06266,2.023983333
19355300,2.72156,2.64609,1.17605,1.12473,1.95971,2.36065,1.26739,1.67463,1.41217,2.22779,2.94606,2.68073,1.22122,2.12825,2.82128,2.5697,1.46725,2.037,2.02457
19473300,2.71404,2.64897,1.19969,1.11716,1.94038,2.34488,1.27088,1.67917,1.39396,2.23396,2.92464,2.71594,1.26789,2.14993,2.89649,2.5346,1.48037,2.02708,2.030001667
19591300,2.70468,2.65287,1.22358,1.10667,1.92778,2.31976,1.30016,1.67541,1.36773,2.23933,2.89289,2.74142,1.30989,2.16758,2.97116,2.48584,1.49227,2.01653,2.033086111
19709300,2.69779,2.63187,1.24242,1.10479,1.91261,2.27473,1.33381,1.66799,1.33435,2.2505,2.85973,2.75273,1.3598,2.17984,3.03773,2.42571,1.5045,2.00014,2.031724444
19827400,2.68568,2.62369,1.26356,1.10974,1.90755,2.20965,1.37711,1.67386,1.30646,2.26905,2.83348,2.75951,1.41353,2.18683,3.10805,2.36784,1.51349,1.98085,2.032773889
19945400,2.67516,2.61684,1.27765,1.11662,1.89801,2.14238,1.43142,1.69933,1.26548,2.30481,2.81602,2.76115,1.46615,2.17946,3.18561,2.30301,1.53617,1.95039,2.034758889
20063400,2.65062,2.61166,1.30942,1.13342,1.88899,2.08859,1.49304,1.73137,1.23167,2.33534,2.79563,2.74698,1.50777,2.16458,3.26042,2.24362,1.57074,1.91667,2.037807222
20181400,2.63084,2.60109,1.33514,1.13531,1.8685,2.0407,1.54765,1.76198,1.19353,2.37305,2.7692,2.72564,1.52901,2.15944,3.32272,2.18271,1.61076,1.87014,2.036522778
20299400,2.62242,2.61304,1.34941,1.1253,1.84536,1.97634,1.60226,1.79333,1.15676,2.40824,2.74564,2.70457,1.54482,2.13944,3.37675,2.12772,1.63131,1.80117,2.031326667
20417500,2.62812,2.64995,1.37931,1.13496,1.82843,1.9103,1.65877,1.80964,1.0841,2.4705,2.72351,2.70305,1.55957,2.13878,3.41985,2.04718,1.66174,1.75233,2.031116111
20535500,2.61959,2.71273,1.41033,1.1688,1.83179,1.86777,1.70802,1.83442,1.02166,2.51362,2.67734,2.70007,1.57229,2.11563,3.4677,1.95574,1.7232,1.69286,2.032975556
20653500,2.60677,2.75773,1.43042,1.1998,1.85694,1.83271,1.76032,1.87901,0.979972,2.59562,2.66101,2.71176,1.62237,2.10061,3.50042,1.87983,1.78295,1.63648,2.044151222
20771500,2.59049,2.80488,1.45664,1.23648,1.86349,1.76245,1.81949,1.92334,0.962751,2.68156,2.66028,2.72123,1.67129,2.06744,3.54043,1.78475,1.84193,1.55336,2.052348944
20889500,2.57998,2.81466,1.50073,1.22228,1.87357,1.70081,1.8912,1.98085,0.968946,2.75277,2.63628,2.74404,1.69664,2.00747,3.5544,1.67303,1.87294,1.48754,2.053229778
21007600,2.52219,2.79342,1.52728,1.23244,1.88706,1.64671,1.92706,2.02067,0.983703,2.84745,2.57845,2.74013,1.65281,1.92714,3.57455,1.54146,1.83358,1.39373,2.034990722
21125600,2.4069,2.76469,1.55263,1.21449,1.83895,1.60933,1.94159,2.06495,0.958124,2.88837,2.51205,2.75814,1.60186,1.84012,3.57651,1.446,1.75793,1.30944,2.002337444
21243600,2.30619,2.67527,1.59302,1.1669,1.81648,1.66858,1.90055,2.08888,0.92847,2.92498,2.49008,2.75219,1.57688,1.75277,3.55415,1.42039,1.67947,1.23771,1.974053333
21361600,2.17557,2.7028,1.6351,1.09456,1.84234,1.64751,1.84831,2.04109,0.995023,2.90807,2.42159,2.75006,1.59664,1.68008,3.61975,1.47072,1.62538,1.14584,1.955579611
21479600,2.03904,2.64978,1.76455,1.10203,1.89114,1.57473,1.86815,1.91592,1.06495,2.91027,2.4602,2.71207,1.69422,1.69841,3.63314,1.54697,1.64042,1.11123,1.959845556
21597600,1.89185,2.62208,1.87004,1.16184,2.03656,1.65397,1.82349,1.96579,1.04797,2.92811,2.49726,2.72103,1.50008,1.8404,3.71399,1.64398,1.70074,1.15182,1.987277778
