Genomic_Distance,10th,11th,12th,13th,14th,15th,16th,17th,18th,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,avee1
6255060,1.74115,1.70573,1.84893,1.36211,1.62854,1.5429,1.20638,1.57002,2.00041,1.80348,1.45577,1.96746,1.71742,1.31883,1.43163,1.70474,1.42369,1.76296,1.621786111
6373080,1.75757,1.71434,1.86157,1.35799,1.64064,1.54512,1.20922,1.58498,2.02031,1.82338,1.47891,1.98505,1.74165,1.32882,1.4305,1.71542,1.43567,1.78533,1.634248333
6491100,1.77488,1.72068,1.87658,1.35785,1.649,1.54745,1.21055,1.5962,2.03823,1.84356,1.49936,2.00054,1.76804,1.33867,1.42543,1.72565,1.44983,1.80616,1.646036667
6609120,1.79128,1.72729,1.88701,1.3562,1.65409,1.54402,1.21392,1.60692,2.05553,1.85896,1.51905,2.01568,1.79328,1.34298,1.42056,1.73678,1.46152,1.82451,1.656087778
6727140,1.80904,1.73279,1.89509,1.35677,1.65767,1.53739,1.21937,1.61511,2.0714,1.87507,1.53701,2.02801,1.81743,1.34475,1.41582,1.74685,1.4747,1.84214,1.665356111
6845160,1.82464,1.73797,1.90315,1.35537,1.66239,1.52943,1.2233,1.6176,2.08604,1.89566,1.55371,2.0351,1.84328,1.34799,1.40895,1.75486,1.49283,1.85581,1.673782222
6963180,1.84083,1.74161,1.90922,1.35708,1.66655,1.5221,1.22854,1.62115,2.0989,1.91604,1.56951,2.0411,1.86547,1.34588,1.40389,1.7632,1.5089,1.86859,1.681586667
7081200,1.85626,1.74713,1.91352,1.35919,1.67265,1.5177,1.23257,1.61986,2.11167,1.93275,1.58502,2.0465,1.88223,1.34197,1.40676,1.76931,1.5276,1.88301,1.689205556
7199220,1.87092,1.75447,1.92007,1.36214,1.67826,1.51565,1.2343,1.61944,2.12722,1.94848,1.59942,2.05489,1.89546,1.33762,1.41371,1.77506,1.54467,1.89671,1.697138333
7317240,1.88818,1.75915,1.92749,1.35995,1.68446,1.51026,1.2353,1.62279,2.14503,1.9613,1.60977,2.0685,1.90713,1.33333,1.42312,1.78006,1.56115,1.90889,1.70477
7435260,1.90375,1.76338,1.9312,1.35962,1.68919,1.50321,1.2341,1.62535,2.16243,1.9745,1.61862,2.07989,1.91624,1.32932,1.42963,1.7851,1.57655,1.92147,1.711308333
7553280,1.92042,1.76409,1.93829,1.3583,1.6972,1.49628,1.23282,1.6287,2.18001,1.98546,1.62646,2.08744,1.92436,1.32319,1.43621,1.79205,1.59195,1.93381,1.717613333
7671300,1.9346,1.76762,1.94248,1.35475,1.70775,1.48496,1.23229,1.63022,2.19588,1.99231,1.62988,2.09704,1.92981,1.31653,1.44324,1.79601,1.60908,1.94501,1.722747778
7789320,1.94567,1.77161,1.94793,1.35299,1.71862,1.47335,1.22871,1.63284,2.21061,1.99948,1.63728,2.10858,1.93441,1.31115,1.4518,1.79738,1.62317,1.95239,1.727665
7907340,1.9565,1.77425,1.95519,1.34766,1.73066,1.4662,1.22571,1.63403,2.22424,2.0052,1.64537,2.1189,1.94088,1.3078,1.46048,1.79912,1.63506,1.96061,1.732658889
8025360,1.96471,1.7748,1.96265,1.33899,1.74219,1.46057,1.22654,1.63338,2.23531,2.01063,1.64915,2.12661,1.94748,1.30688,1.47037,1.79956,1.64519,1.97416,1.737176111
8143380,1.97406,1.77769,1.9683,1.33181,1.75839,1.45622,1.22919,1.63085,2.25007,2.01558,1.65424,2.13492,1.96076,1.30098,1.4799,1.79998,1.65776,1.98621,1.742606111
8261400,1.9846,1.7826,1.97292,1.32261,1.77574,1.44491,1.2302,1.62911,2.26338,2.02162,1.65666,2.14223,1.97168,1.29757,1.48908,1.80359,1.66881,2.00154,1.747713889
8379420,1.99749,1.78435,1.98164,1.31982,1.79276,1.43494,1.22937,1.62995,2.27997,2.02697,1.6562,2.14892,1.98269,1.28925,1.49906,1.80577,1.67686,2.01551,1.752862222
8497440,2.00709,1.78666,1.98919,1.32665,1.81317,1.42485,1.22728,1.62978,2.29535,2.03461,1.65592,2.15582,1.99445,1.28225,1.50778,1.81091,1.68441,2.03025,1.75869
8615460,2.01566,1.78475,1.99451,1.34007,1.8343,1.41843,1.22707,1.62614,2.31002,2.04105,1.65119,2.16146,2.00428,1.27482,1.52124,1.81619,1.69248,2.04477,1.764357222
8733480,2.02639,1.78385,1.99761,1.35252,1.85437,1.40848,1.23021,1.62803,2.32597,2.04761,1.6512,2.16833,2.0149,1.26668,1.54085,1.82185,1.70246,2.06102,1.771240556
8851500,2.03777,1.78111,2.00022,1.36594,1.87663,1.40192,1.23455,1.63018,2.34033,2.05693,1.65285,2.17622,2.0265,1.25861,1.56336,1.83027,1.71345,2.07804,1.77916
8969520,2.05008,1.77709,2.00119,1.38114,1.89864,1.39817,1.24202,1.6351,2.35828,2.06688,1.65526,2.18363,2.03871,1.24996,1.59078,1.83959,1.72899,2.09585,1.788408889
9087540,2.06371,1.7733,2.00026,1.39417,1.92028,1.3974,1.25012,1.64044,2.37566,2.07909,1.65862,2.18958,2.04805,1.24249,1.61762,1.85197,1.74641,2.11358,1.797930556
9205560,2.07399,1.77433,2.00002,1.40618,1.94163,1.39599,1.26073,1.64619,2.38946,2.09288,1.66032,2.19009,2.05524,1.23997,1.64109,1.86181,1.76257,2.13069,1.806843333
9323580,2.08481,1.77686,1.99791,1.41055,1.96261,1.39468,1.26938,1.65252,2.40117,2.10509,1.66131,2.19212,2.06099,1.23934,1.66594,1.87291,1.779,2.1491,1.815349444
9441600,2.09438,1.7753,1.99271,1.40566,1.98354,1.39297,1.27715,1.65858,2.41395,2.11286,1.66129,2.18763,2.06364,1.24822,1.68786,1.88219,1.79367,2.16461,1.822011667
9559620,2.10248,1.77657,1.98518,1.39817,2.0019,1.39017,1.287,1.66114,2.42639,2.12035,1.65891,2.17992,2.06501,1.2616,1.70988,1.89376,1.80401,2.17649,1.827718333
9677640,2.11019,1.77968,1.98118,1.38937,2.02243,1.38936,1.29827,1.66133,2.4373,2.12964,1.66004,2.17384,2.07145,1.27385,1.73216,1.9032,1.81597,2.18486,1.834117778
9795660,2.12136,1.78876,1.97575,1.37895,2.04171,1.38895,1.31272,1.66063,2.44775,2.14059,1.66088,2.1685,2.08002,1.2817,1.75357,1.9138,1.82586,2.19385,1.840852778
9913680,2.13261,1.79486,1.96817,1.36987,2.05831,1.39232,1.33007,1.66151,2.45721,2.14959,1.66459,2.16903,2.0865,1.28975,1.77823,1.92458,1.8371,2.20227,1.848142778
10031700,2.14298,1.80384,1.96304,1.36263,2.07154,1.39612,1.3448,1.66195,2.46438,2.16233,1.66716,2.16747,2.09663,1.29775,1.80404,1.9321,1.84712,2.20868,1.855253333
10149700,2.1594,1.81121,1.95783,1.35488,2.08457,1.40172,1.3567,1.65855,2.46982,2.17523,1.66939,2.16771,2.10952,1.30729,1.83141,1.9414,1.8599,2.21381,1.862796667
10267700,2.1777,1.81887,1.95278,1.3456,2.09833,1.40694,1.36546,1.65643,2.47533,2.18688,1.67374,2.16513,2.12003,1.3201,1.85465,1.94772,1.87257,2.21702,1.869737778
10385800,2.19551,1.82798,1.94736,1.33802,2.10819,1.41831,1.37569,1.65172,2.4775,2.19526,1.68038,2.16169,2.12934,1.32911,1.8818,1.95112,1.88365,2.22054,1.876287222
10503800,2.21405,1.83017,1.94335,1.33265,2.11868,1.42815,1.39132,1.64834,2.48041,2.20658,1.68994,2.15921,2.13982,1.33976,1.914,1.95233,1.8925,2.2245,1.883653333
10621800,2.23417,1.8316,1.94077,1.33069,2.12906,1.4401,1.40477,1.64494,2.48082,2.21787,1.696,2.15586,2.15074,1.35166,1.9448,1.95652,1.90136,2.22837,1.891116667
10739800,2.25225,1.82995,1.93863,1.33326,2.13761,1.45282,1.42019,1.63997,2.47674,2.22743,1.70193,2.15293,2.16146,1.36661,1.97178,1.95805,1.90817,2.23154,1.897851111
10857800,2.27146,1.83263,1.93739,1.33984,2.14343,1.46681,1.43637,1.63948,2.47107,2.23258,1.70889,2.14793,2.16893,1.38294,1.9968,1.95797,1.91399,2.23837,1.904826667
10975900,2.2947,1.83314,1.93294,1.34508,2.15014,1.48099,1.45242,1.64085,2.46586,2.23936,1.71526,2.14233,2.17016,1.39348,2.01758,1.95652,1.92083,2.24553,1.910953889
11093900,2.31647,1.83133,1.93097,1.3484,2.15605,1.49896,1.47147,1.64075,2.46104,2.24514,1.72299,2.13914,2.17621,1.40504,2.03704,1.95408,1.92781,2.24881,1.917316667
11211900,2.33668,1.83105,1.92679,1.35492,2.16069,1.51134,1.48979,1.63606,2.4594,2.25055,1.72906,2.13529,2.18142,1.41367,2.05391,1.95184,1.93559,2.25334,1.922855
11329900,2.36014,1.83227,1.92325,1.3639,2.16186,1.52351,1.50825,1.63024,2.45828,2.25434,1.73592,2.13329,2.18657,1.41821,2.06915,1.94785,1.94733,2.25537,1.928318333
11447900,2.38367,1.83248,1.91745,1.37304,2.16418,1.5377,1.53208,1.62362,2.45594,2.25583,1.74364,2.13263,2.18916,1.42342,2.08348,1.94473,1.95789,2.25479,1.933651667
11566000,2.40853,1.82556,1.91354,1.38043,2.16505,1.55298,1.55298,1.61932,2.45551,2.2541,1.75091,2.1304,2.18635,1.42544,2.09903,1.94178,1.97117,2.25331,1.938132778
11684000,2.43707,1.82364,1.9045,1.38714,2.16612,1.56214,1.57255,1.61433,2.45283,2.25057,1.76422,2.12805,2.18562,1.42744,2.11163,1.94016,1.98002,2.25348,1.942306111
11802000,2.46175,1.82418,1.89713,1.39295,2.16553,1.56971,1.58937,1.61072,2.45106,2.25007,1.78019,2.12518,2.18021,1.42784,2.12364,1.93804,1.98573,2.25118,1.945804444
11920000,2.48624,1.82787,1.88636,1.39765,2.16286,1.5779,1.60378,1.60555,2.45229,2.25086,1.80252,2.12118,2.17181,1.42708,2.13556,1.93785,1.98886,2.24974,1.94922
12038000,2.5057,1.82919,1.87283,1.4052,2.16075,1.58719,1.62009,1.60371,2.45636,2.25147,1.82558,2.11442,2.16426,1.42432,2.14957,1.93762,1.99316,2.2463,1.952651111
12156100,2.52581,1.83461,1.85982,1.41238,2.15954,1.59422,1.63753,1.6013,2.464,2.25058,1.85342,2.107,2.15693,1.42573,2.15902,1.94256,1.99729,2.24141,1.956841667
12274100,2.54141,1.84022,1.844,1.4204,2.15984,1.60161,1.65489,1.59801,2.4738,2.24587,1.87956,2.10079,2.14622,1.42634,2.16224,1.94749,1.99618,2.23965,1.959917778
12392100,2.55283,1.84712,1.82754,1.43218,2.16271,1.61249,1.66476,1.59484,2.48222,2.24281,1.90985,2.09624,2.13548,1.42367,2.16303,1.95547,1.99631,2.24298,1.963473889
