Genomic Distance,Column1,10th,11th,12th,13th,14th,15th,16th,17th,18th,this work- Trajectories,2nd,3rd,4th,5th,6th,7th,8th,9th,avee,avee1
13,144444.44444444444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09,0.09,0.09
118,536107.2455679704,0.9205673040309842,1.0186076011127894,1.0539401376905422,1.0586306120862208,1.1686899744372257,0.8748883475371242,1.2335441557989741,1.1152524781623359,1.3188727215858524,1.256132759670235,1.0181040066296005,0.9678296423937979,1.128947962320952,1.199364978968321,0.8672618612109388,1.0627209963530797,0.9068636495144469,0.216645,0.221380167,0.220142611
236,749681.2237734539,0.9711364559661251,1.0088518769841712,1.0191207571487089,1.0316680796316566,1.1349914195347102,0.9105182282194964,1.1663557099698931,1.0493489329803931,1.2048829560640608,1.1841821190794979,0.9965005523212754,0.9804501556586043,1.0757959928151433,1.153243935354555,0.950451307741972,1.0316187484083716,0.9316141291972393,0.316858,0.3148706,0.314853889
354,905338.9289217809,0.966042709112895,1.00327765554259,1.0047970292943265,1.021199226951198,1.1046035077507024,0.9351669769785299,1.1475439906515135,1.0236587880759733,1.1398306177390485,1.1439071762880855,0.9896951120815284,0.9897474547862315,1.067092241130268,1.1514759389337654,0.9627906916179015,1.0206378787227264,0.9382331683574142,0.406756,0.389468375,0.391080111
472,1037094.9862043757,0.9708728513717216,1.0035991768220116,1.0109151616228065,1.0135416718041697,1.0747523160421026,0.9585904459670722,1.139979733286818,1.0154395093813557,1.0965048189170798,1.100033553508921,0.9898229535256987,0.9916649572983782,1.0745218425014789,1.1346407130730425,0.961637681926985,1.0224048432367938,0.940044810032031,0.482185,0.450790444,0.455194611
590,1155837.8604011764,0.970551329816149,1.0209448515062962,1.0156469128166703,1.0131056235442095,1.0489084972545104,0.9661091897710812,1.1386454002939164,1.012086867311139,1.090320869821539,1.064188204478448,0.9799276682740082,1.0071547287633593,1.0733397260344129,1.121531532345318,0.9539672822809468,1.0181776532980387,0.9338729048023444,0.545901,0.513073929,0.510538778
708,1265422.9171697702,0.9787192644505381,1.0298205433487386,1.026793687493102,1.0013368606935547,1.0320570413664298,0.9775239556982884,1.1316335320140762,1.0038724337968625,1.083277648539634,1.0377520571451901,0.9819483771514252,1.0050625016960215,1.0933429666951602,1.1098885791053188,0.9433777779554592,1.0143346750451705,0.9228950568115275,0.604625,0.561017,0.559591611
826,1364528.8579227629,0.9885113460625833,1.0370163304556046,1.0346563878214414,0.9885024552007364,1.0267205509284096,0.9851850288573175,1.1279117363203328,0.9917362787928299,1.078736660917885,1.031132026935371,0.9865771890016145,0.9934490040721553,1.110879358357032,1.1032085473776818,0.9244045582807668,1.0106425067130103,0.9095559156093296,0.660473,0.6088985,0.605439778
944,1453045.5961168362,0.9991797746260954,1.0434899172919767,1.0452538939559195,0.9787692022193873,1.0312542778661926,0.9915404438949076,1.1243891290522727,0.9740258824854994,1.070513134534535,1.0262123918996384,0.9943704309216311,0.9873503173199376,1.115975391076737,1.0968716743932292,0.9110210217773991,1.005899102113544,0.8952849910571882,0.714551,0.654774154,0.649780056
"1,062",1534664.6812733964,1.0112088438341842,1.0550879692161461,1.0490113181347378,0.9755745625547941,1.0294344092564027,0.9999740482783194,1.1213038742765107,0.9501382464060537,1.059526686025832,1.0238918901737335,0.999690673419771,0.9798827969504638,1.1151531383462379,1.0878673019154153,0.9091119938248042,1.0069785179501909,0.8840038779071,0.767785,0.694033077,0.692125167
"1,180",1614283.4761674618,1.02300743807358,1.058389607384863,1.0568893946077285,0.9687611376055006,1.0329915559725493,1.0192707525721245,1.1229742037379553,0.9261948906672767,1.045696579296642,1.0180987356497115,1.0042575463656254,0.9744564551075311,1.1097228010831577,1.077848549344904,0.904477838409921,1.0029527980558692,0.8872230350723687,0.814714,0.738012286,0.731098389
"1,298",1691304.12051543,1.0353887322632842,1.0559373912665242,1.0633270552320448,0.9612453260977304,1.0360432166086362,1.0354787747077,1.1211167262954118,0.9086060706714298,1.0341601971417131,1.0140871960096713,0.9997574891938208,0.9719266644241972,1.1034430156192663,1.0724298936698995,0.9028538730096808,0.9977018224846549,0.895104949825492,0.861578,0.748660667,0.767585222
